from	to	title	journ	pub_year	doc_type
au6	au14	MEASURING EMPATHIC TENDENCIES: RELIABILITY AND VALIDITY OF THE DUTCH VERSION OF THE INTERPERSONAL REACTIVITY INDEX	PSYCHOLOGICA BELGICA	2007	Article
au52	au42	MEASURING EMPATHIC TENDENCIES: RELIABILITY AND VALIDITY OF THE DUTCH VERSION OF THE INTERPERSONAL REACTIVITY INDEX	PSYCHOLOGICA BELGICA	2007	Article
au52	au41	MEASURING EMPATHIC TENDENCIES: RELIABILITY AND VALIDITY OF THE DUTCH VERSION OF THE INTERPERSONAL REACTIVITY INDEX	PSYCHOLOGICA BELGICA	2007	Article
au52	au14	MEASURING EMPATHIC TENDENCIES: RELIABILITY AND VALIDITY OF THE DUTCH VERSION OF THE INTERPERSONAL REACTIVITY INDEX	PSYCHOLOGICA BELGICA	2007	Article
au42	au41	MEASURING EMPATHIC TENDENCIES: RELIABILITY AND VALIDITY OF THE DUTCH VERSION OF THE INTERPERSONAL REACTIVITY INDEX	PSYCHOLOGICA BELGICA	2007	Article
au42	au14	MEASURING EMPATHIC TENDENCIES: RELIABILITY AND VALIDITY OF THE DUTCH VERSION OF THE INTERPERSONAL REACTIVITY INDEX	PSYCHOLOGICA BELGICA	2007	Article
au41	au14	MEASURING EMPATHIC TENDENCIES: RELIABILITY AND VALIDITY OF THE DUTCH VERSION OF THE INTERPERSONAL REACTIVITY INDEX	PSYCHOLOGICA BELGICA	2007	Article
au14	au47	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au14	au11	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au14	au21	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au14	au30	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au14	au39	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au14	au54	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au47	au11	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au47	au21	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au47	au30	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au47	au39	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au47	au54	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au11	au21	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au11	au30	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au11	au39	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au11	au54	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au21	au30	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au21	au39	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au21	au54	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au30	au39	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au30	au54	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au39	au54	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au14	au7	Measuring conflict-related behaviors: Reliability and validity evidence regarding the conflict dynamics profile	EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT	2004	Article; Proceedings Paper
au14	au28	Measuring conflict-related behaviors: Reliability and validity evidence regarding the conflict dynamics profile	EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT	2004	Article; Proceedings Paper
au7	au28	Measuring conflict-related behaviors: Reliability and validity evidence regarding the conflict dynamics profile	EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT	2004	Article; Proceedings Paper
au14	au23	The first year: Influences on the satisfaction, involvement, and persistence of new community volunteers	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2003	Article
au14	au35	The first year: Influences on the satisfaction, involvement, and persistence of new community volunteers	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2003	Article
au23	au35	The first year: Influences on the satisfaction, involvement, and persistence of new community volunteers	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2003	Article
au23	au14	Dispositional empathy in scientist and practitioner psychologists: Group differences and relationship to self-reported professional effectiveness	PSYCHOTHERAPY	2000	Article
au23	au13	Dispositional empathy in scientist and practitioner psychologists: Group differences and relationship to self-reported professional effectiveness	PSYCHOTHERAPY	2000	Article
au14	au13	Dispositional empathy in scientist and practitioner psychologists: Group differences and relationship to self-reported professional effectiveness	PSYCHOTHERAPY	2000	Article
au14	au37	Empathy, expectations, and situational preferences: Personality influences on the decision to participate in volunteer helping behaviors	JOURNAL OF PERSONALITY	1999	Article
au14	au23	Empathy, expectations, and situational preferences: Personality influences on the decision to participate in volunteer helping behaviors	JOURNAL OF PERSONALITY	1999	Article
au14	au32	Empathy, expectations, and situational preferences: Personality influences on the decision to participate in volunteer helping behaviors	JOURNAL OF PERSONALITY	1999	Article
au14	au46	Empathy, expectations, and situational preferences: Personality influences on the decision to participate in volunteer helping behaviors	JOURNAL OF PERSONALITY	1999	Article
au14	au36	Empathy, expectations, and situational preferences: Personality influences on the decision to participate in volunteer helping behaviors	JOURNAL OF PERSONALITY	1999	Article
au37	au23	Empathy, expectations, and situational preferences: Personality influences on the decision to participate in volunteer helping behaviors	JOURNAL OF PERSONALITY	1999	Article
au37	au32	Empathy, expectations, and situational preferences: Personality influences on the decision to participate in volunteer helping behaviors	JOURNAL OF PERSONALITY	1999	Article
au37	au46	Empathy, expectations, and situational preferences: Personality influences on the decision to participate in volunteer helping behaviors	JOURNAL OF PERSONALITY	1999	Article
au37	au36	Empathy, expectations, and situational preferences: Personality influences on the decision to participate in volunteer helping behaviors	JOURNAL OF PERSONALITY	1999	Article
au23	au32	Empathy, expectations, and situational preferences: Personality influences on the decision to participate in volunteer helping behaviors	JOURNAL OF PERSONALITY	1999	Article
au23	au46	Empathy, expectations, and situational preferences: Personality influences on the decision to participate in volunteer helping behaviors	JOURNAL OF PERSONALITY	1999	Article
au23	au36	Empathy, expectations, and situational preferences: Personality influences on the decision to participate in volunteer helping behaviors	JOURNAL OF PERSONALITY	1999	Article
au32	au46	Empathy, expectations, and situational preferences: Personality influences on the decision to participate in volunteer helping behaviors	JOURNAL OF PERSONALITY	1999	Article
au32	au36	Empathy, expectations, and situational preferences: Personality influences on the decision to participate in volunteer helping behaviors	JOURNAL OF PERSONALITY	1999	Article
au46	au36	Empathy, expectations, and situational preferences: Personality influences on the decision to participate in volunteer helping behaviors	JOURNAL OF PERSONALITY	1999	Article
au14	au38	Relationship-specific and global perceptions of social support: Associations with well-being and attachment	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1998	Article
au14	au28	Relationship-specific and global perceptions of social support: Associations with well-being and attachment	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1998	Article
au38	au28	Relationship-specific and global perceptions of social support: Associations with well-being and attachment	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1998	Article
au14	au12	Effect of perspective taking on the cognitive representation of persons: A merging of self and other	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1996	Article
au14	au45	Effect of perspective taking on the cognitive representation of persons: A merging of self and other	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1996	Article
au14	au33	Effect of perspective taking on the cognitive representation of persons: A merging of self and other	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1996	Article
au12	au45	Effect of perspective taking on the cognitive representation of persons: A merging of self and other	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1996	Article
au12	au33	Effect of perspective taking on the cognitive representation of persons: A merging of self and other	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1996	Article
au45	au33	Effect of perspective taking on the cognitive representation of persons: A merging of self and other	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1996	Article
au14	au33	THE HERITABILITY OF CHARACTERISTICS ASSOCIATED WITH DISPOSITIONAL EMPATHY	JOURNAL OF PERSONALITY	1994	Article
au14	au29	THE HERITABILITY OF CHARACTERISTICS ASSOCIATED WITH DISPOSITIONAL EMPATHY	JOURNAL OF PERSONALITY	1994	Article
au33	au29	THE HERITABILITY OF CHARACTERISTICS ASSOCIATED WITH DISPOSITIONAL EMPATHY	JOURNAL OF PERSONALITY	1994	Article
au20	au14	2 SOCIAL WORLDS - SOCIAL CORRELATES AND STABILITY OF ADOLESCENT STATUS GROUPS	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1994	Article
au20	au51	2 SOCIAL WORLDS - SOCIAL CORRELATES AND STABILITY OF ADOLESCENT STATUS GROUPS	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1994	Article
au14	au51	2 SOCIAL WORLDS - SOCIAL CORRELATES AND STABILITY OF ADOLESCENT STATUS GROUPS	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1994	Article
au28	au3	PERSONAL AND SOCIAL INFLUENCES ON LONELINESS - THE MEDIATING EFFECT OF SOCIAL PROVISIONS	SOCIAL PSYCHOLOGY QUARTERLY	1993	Article
au28	au14	PERSONAL AND SOCIAL INFLUENCES ON LONELINESS - THE MEDIATING EFFECT OF SOCIAL PROVISIONS	SOCIAL PSYCHOLOGY QUARTERLY	1993	Article
au28	au10	PERSONAL AND SOCIAL INFLUENCES ON LONELINESS - THE MEDIATING EFFECT OF SOCIAL PROVISIONS	SOCIAL PSYCHOLOGY QUARTERLY	1993	Article
au28	au27	PERSONAL AND SOCIAL INFLUENCES ON LONELINESS - THE MEDIATING EFFECT OF SOCIAL PROVISIONS	SOCIAL PSYCHOLOGY QUARTERLY	1993	Article
au3	au14	PERSONAL AND SOCIAL INFLUENCES ON LONELINESS - THE MEDIATING EFFECT OF SOCIAL PROVISIONS	SOCIAL PSYCHOLOGY QUARTERLY	1993	Article
au3	au10	PERSONAL AND SOCIAL INFLUENCES ON LONELINESS - THE MEDIATING EFFECT OF SOCIAL PROVISIONS	SOCIAL PSYCHOLOGY QUARTERLY	1993	Article
au3	au27	PERSONAL AND SOCIAL INFLUENCES ON LONELINESS - THE MEDIATING EFFECT OF SOCIAL PROVISIONS	SOCIAL PSYCHOLOGY QUARTERLY	1993	Article
au14	au10	PERSONAL AND SOCIAL INFLUENCES ON LONELINESS - THE MEDIATING EFFECT OF SOCIAL PROVISIONS	SOCIAL PSYCHOLOGY QUARTERLY	1993	Article
au14	au27	PERSONAL AND SOCIAL INFLUENCES ON LONELINESS - THE MEDIATING EFFECT OF SOCIAL PROVISIONS	SOCIAL PSYCHOLOGY QUARTERLY	1993	Article
au10	au27	PERSONAL AND SOCIAL INFLUENCES ON LONELINESS - THE MEDIATING EFFECT OF SOCIAL PROVISIONS	SOCIAL PSYCHOLOGY QUARTERLY	1993	Article
au14	au24	DECLINES IN MAJOR-LEAGUE BATTING PERFORMANCE AS A FUNCTION OF GAME PRESSURE - A DRIVE THEORY ANALYSIS	JOURNAL OF APPLIED SOCIAL PSYCHOLOGY	1992	Article
au1	au14	INTIMACY, PASSION AND COMMITMENT IN ADULT ROMANTIC RELATIONSHIPS - A TEST OF THE TRIANGULAR THEORY OF LOVE	JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS	1992	Article
au14	au40	THE EFFECT OF DISPOSITIONAL EMPATHY ON ROMANTIC RELATIONSHIP BEHAVIORS - HETEROSOCIAL ANXIETY AS A MODERATING INFLUENCE	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	1992	Article
au14	au20	STABILITY AND CHANGE IN ADOLESCENT SELF-CONSCIOUSNESS AND EMPATHY	JOURNAL OF RESEARCH IN PERSONALITY	1991	Article
au20	au14	A MOTIVATIONAL EXPLANATION FOR THE EXISTENCE OF PRIVATE SELF-CONSCIOUSNESS DIFFERENCES	JOURNAL OF PERSONALITY	1990	Article
au20	au34	A MOTIVATIONAL EXPLANATION FOR THE EXISTENCE OF PRIVATE SELF-CONSCIOUSNESS DIFFERENCES	JOURNAL OF PERSONALITY	1990	Article
au14	au34	A MOTIVATIONAL EXPLANATION FOR THE EXISTENCE OF PRIVATE SELF-CONSCIOUSNESS DIFFERENCES	JOURNAL OF PERSONALITY	1990	Article
au14	au28	SOCIAL CONTACT, LONELINESS, AND MASS-MEDIA USE - A TEST OF 2 HYPOTHESES	JOURNAL OF APPLIED SOCIAL PSYCHOLOGY	1989	Article
au14	au40	MAINTENANCE OF SATISFACTION IN ROMANTIC RELATIONSHIPS - EMPATHY AND RELATIONAL COMPETENCE	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1987	Article
au14	au26	EMOTIONAL-REACTIONS TO DRAMATIC FILM STIMULI - THE INFLUENCE OF COGNITIVE AND EMOTIONAL EMPATHY	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1987	Article
au14	au55	EMOTIONAL-REACTIONS TO DRAMATIC FILM STIMULI - THE INFLUENCE OF COGNITIVE AND EMOTIONAL EMPATHY	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1987	Article
au14	au53	EMOTIONAL-REACTIONS TO DRAMATIC FILM STIMULI - THE INFLUENCE OF COGNITIVE AND EMOTIONAL EMPATHY	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1987	Article
au26	au55	EMOTIONAL-REACTIONS TO DRAMATIC FILM STIMULI - THE INFLUENCE OF COGNITIVE AND EMOTIONAL EMPATHY	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1987	Article
au26	au53	EMOTIONAL-REACTIONS TO DRAMATIC FILM STIMULI - THE INFLUENCE OF COGNITIVE AND EMOTIONAL EMPATHY	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1987	Article
au55	au53	EMOTIONAL-REACTIONS TO DRAMATIC FILM STIMULI - THE INFLUENCE OF COGNITIVE AND EMOTIONAL EMPATHY	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1987	Article
au14	au20	ADOLESCENT LONELINESS, SELF-DISCLOSURE, AND PRIVATE SELF-CONSCIOUSNESS - A LONGITUDINAL INVESTIGATION	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1986	Article
au20	au14	ADOLESCENT SELF-DISCLOSURE AND LONELINESS - PRIVATE SELF-CONSCIOUSNESS AND PARENTAL INFLUENCES	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1985	Article
au20	au14	THE EFFECTS OF PRIVATE SELF-CONSCIOUSNESS AND PERSPECTIVE TAKING ON SATISFACTION IN CLOSE RELATIONSHIPS	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1985	Article
au20	au55	THE EFFECTS OF PRIVATE SELF-CONSCIOUSNESS AND PERSPECTIVE TAKING ON SATISFACTION IN CLOSE RELATIONSHIPS	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1985	Article
au14	au55	THE EFFECTS OF PRIVATE SELF-CONSCIOUSNESS AND PERSPECTIVE TAKING ON SATISFACTION IN CLOSE RELATIONSHIPS	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1985	Article
au5	au14	Perspective-Taking, Self-Consciousness, and Accuracy in Person Perception	BASIC AND APPLIED SOCIAL PSYCHOLOGY	1982	Article
au14	au43	BELIEFS AND ATTITUDES IN A GUBERNATORIAL PRIMARY - SOME LIMITATIONS ON THE FISHBEIN MODEL	JOURNAL OF APPLIED SOCIAL PSYCHOLOGY	1981	Article
au2	au17	THE ROLE OF DISPOSITIONAL EMPATHY AND SOCIAL EVALUATION IN THE EMPATHIC MEDIATION OF HELPING	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1981	Article
au2	au22	THE ROLE OF DISPOSITIONAL EMPATHY AND SOCIAL EVALUATION IN THE EMPATHIC MEDIATION OF HELPING	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1981	Article
au2	au14	THE ROLE OF DISPOSITIONAL EMPATHY AND SOCIAL EVALUATION IN THE EMPATHIC MEDIATION OF HELPING	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1981	Article
au2	au19	THE ROLE OF DISPOSITIONAL EMPATHY AND SOCIAL EVALUATION IN THE EMPATHIC MEDIATION OF HELPING	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1981	Article
au17	au22	THE ROLE OF DISPOSITIONAL EMPATHY AND SOCIAL EVALUATION IN THE EMPATHIC MEDIATION OF HELPING	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1981	Article
au17	au14	THE ROLE OF DISPOSITIONAL EMPATHY AND SOCIAL EVALUATION IN THE EMPATHIC MEDIATION OF HELPING	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1981	Article
au17	au19	THE ROLE OF DISPOSITIONAL EMPATHY AND SOCIAL EVALUATION IN THE EMPATHIC MEDIATION OF HELPING	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1981	Article
au22	au14	THE ROLE OF DISPOSITIONAL EMPATHY AND SOCIAL EVALUATION IN THE EMPATHIC MEDIATION OF HELPING	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1981	Article
au22	au19	THE ROLE OF DISPOSITIONAL EMPATHY AND SOCIAL EVALUATION IN THE EMPATHIC MEDIATION OF HELPING	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1981	Article
au14	au19	THE ROLE OF DISPOSITIONAL EMPATHY AND SOCIAL EVALUATION IN THE EMPATHIC MEDIATION OF HELPING	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1981	Article
au14	au49	ATTRIBUTIONS FOR EXAM PERFORMANCE	JOURNAL OF APPLIED SOCIAL PSYCHOLOGY	1980	Article
au19	au14	THE EFFECTS OF COGNITIVE AND BEHAVIORAL-CONTROL ON POST-STRESS PERFORMANCE	JOURNAL OF HUMAN STRESS	1980	Article
au19	au49	THE EFFECTS OF COGNITIVE AND BEHAVIORAL-CONTROL ON POST-STRESS PERFORMANCE	JOURNAL OF HUMAN STRESS	1980	Article
au19	au5	THE EFFECTS OF COGNITIVE AND BEHAVIORAL-CONTROL ON POST-STRESS PERFORMANCE	JOURNAL OF HUMAN STRESS	1980	Article
au14	au49	THE EFFECTS OF COGNITIVE AND BEHAVIORAL-CONTROL ON POST-STRESS PERFORMANCE	JOURNAL OF HUMAN STRESS	1980	Article
au14	au5	THE EFFECTS OF COGNITIVE AND BEHAVIORAL-CONTROL ON POST-STRESS PERFORMANCE	JOURNAL OF HUMAN STRESS	1980	Article
au49	au5	THE EFFECTS OF COGNITIVE AND BEHAVIORAL-CONTROL ON POST-STRESS PERFORMANCE	JOURNAL OF HUMAN STRESS	1980	Article
au2	au19	EMOTIONAL EMPATHY IN A COURTROOM SIMULATION - PERSON-SITUATION INTERACTION	JOURNAL OF APPLIED SOCIAL PSYCHOLOGY	1979	Article
au2	au14	EMOTIONAL EMPATHY IN A COURTROOM SIMULATION - PERSON-SITUATION INTERACTION	JOURNAL OF APPLIED SOCIAL PSYCHOLOGY	1979	Article
au19	au14	EMOTIONAL EMPATHY IN A COURTROOM SIMULATION - PERSON-SITUATION INTERACTION	JOURNAL OF APPLIED SOCIAL PSYCHOLOGY	1979	Article
au5	au49	EXPLAINING ATTRIBUTIONS FOR ACHIEVEMENT - PATH ANALYTIC APPROACH	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1979	Article
au5	au14	EXPLAINING ATTRIBUTIONS FOR ACHIEVEMENT - PATH ANALYTIC APPROACH	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1979	Article
au49	au14	EXPLAINING ATTRIBUTIONS FOR ACHIEVEMENT - PATH ANALYTIC APPROACH	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1979	Article
au49	au5	ATTRIBUTIONS FOR ACHIEVEMENT - EGOTISM VS EXPECTANCY CONFIRMATION	US SOCIAL PSYCHOLOGY	1979	Article
au49	au48	ATTRIBUTIONS FOR ACHIEVEMENT - EGOTISM VS EXPECTANCY CONFIRMATION	US SOCIAL PSYCHOLOGY	1979	Article
