paper_id	title	journ	pub_year	au_name
000260478800002	MEASURING EMPATHIC TENDENCIES: RELIABILITY AND VALIDITY OF THE DUTCH VERSION OF THE INTERPERSONAL REACTIVITY INDEX	PSYCHOLOGICA BELGICA	2007	DE CORTE, K; BUYSSE, A; VERHOFSTADT, LL; ROEYERS, H; PONNET, K; DAVIS, MH
000228441200005	BECOMING (AND REMAINING) A COMMUNITY VOLUNTEER: DOES PERSONALITY MATTER?	PROCESSES OF COMMUNITY CHANGE AND SOCIAL ACTION	2005	DAVIS, MH
000225045700009	COGNITIONS ASSOCIATED WITH ATTEMPTS TO EMPATHIZE: HOW DO WE IMAGINE THE PERSPECTIVE OF ANOTHER?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	DAVIS, MH; SODERLUND, T; COLE, J; GADOL, E; KUTE, M; MYERS, M; WEIHING, J
000222818800009	MEASURING CONFLICT-RELATED BEHAVIORS: RELIABILITY AND VALIDITY EVIDENCE REGARDING THE CONFLICT DYNAMICS PROFILE	EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT	2004	DAVIS, MH; CAPOBIANCO, S; KRAUS, LA
000180436700010	THE FIRST YEAR: INFLUENCES ON THE SATISFACTION, INVOLVEMENT, AND PERSISTENCE OF NEW COMMUNITY VOLUNTEERS	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2003	DAVIS, MH; HALL, JA; MEYER, M
000167517500006	DISPOSITIONAL EMPATHY IN SCIENTIST AND PRACTITIONER PSYCHOLOGISTS: GROUP DIFFERENCES AND RELATIONSHIP TO SELF-REPORTED PROFESSIONAL EFFECTIVENESS	PSYCHOTHERAPY	2000	HALL, JA; DAVIS, MH; CONNELLY, M
000080484700004	EMPATHY, EXPECTATIONS, AND SITUATIONAL PREFERENCES: PERSONALITY INFLUENCES ON THE DECISION TO PARTICIPATE IN VOLUNTEER HELPING BEHAVIORS	JOURNAL OF PERSONALITY	1999	DAVIS, MH; MITCHELL, KV; HALL, JA; LOTHERT, J; SNAPP, T; MEYER, N
000072070700014	RELATIONSHIP-SPECIFIC AND GLOBAL PERCEPTIONS OF SOCIAL SUPPORT: ASSOCIATIONS WITH WELL-BEING AND ATTACHMENT	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1998	DAVIS, MH; MORRIS, MM; KRAUS, LA
A1996UE80100005	EFFECT OF PERSPECTIVE TAKING ON THE COGNITIVE REPRESENTATION OF PERSONS: A MERGING OF SELF AND OTHER	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1996	DAVIS, MH; CONKLIN, L; SMITH, A; LUCE, C
A1994PM27200005	THE HERITABILITY OF CHARACTERISTICS ASSOCIATED WITH DISPOSITIONAL EMPATHY	JOURNAL OF PERSONALITY	1994	DAVIS, MH; LUCE, C; KRAUS, SJ
A1994PG29900008	2 SOCIAL WORLDS - SOCIAL CORRELATES AND STABILITY OF ADOLESCENT STATUS GROUPS	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1994	FRANZOI, SL; DAVIS, MH; VASQUEZSUSON, KA
A1993KU28600004	PERSONAL AND SOCIAL INFLUENCES ON LONELINESS - THE MEDIATING EFFECT OF SOCIAL PROVISIONS	SOCIAL PSYCHOLOGY QUARTERLY	1993	KRAUS, LA; BAZZINI, D; DAVIS, MH; CHURCH, M; KIRCHMAN, CM
A1992HZ19900003	DECLINES IN MAJOR-LEAGUE BATTING PERFORMANCE AS A FUNCTION OF GAME PRESSURE - A DRIVE THEORY ANALYSIS	JOURNAL OF APPLIED SOCIAL PSYCHOLOGY	1992	DAVIS, MH; HARVEY, JC
A1992HA15900002	INTIMACY, PASSION AND COMMITMENT IN ADULT ROMANTIC RELATIONSHIPS - A TEST OF THE TRIANGULAR THEORY OF LOVE	JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS	1992	ACKER, M; DAVIS, MH
A1992HC29000011	THE EFFECT OF DISPOSITIONAL EMPATHY ON ROMANTIC RELATIONSHIP BEHAVIORS - HETEROSOCIAL ANXIETY AS A MODERATING INFLUENCE	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	1992	DAVIS, MH; OATHOUT, HA
A1991EY04800005	STABILITY AND CHANGE IN ADOLESCENT SELF-CONSCIOUSNESS AND EMPATHY	JOURNAL OF RESEARCH IN PERSONALITY	1991	DAVIS, MH; FRANZOI, SL
A1990EP15100003	A MOTIVATIONAL EXPLANATION FOR THE EXISTENCE OF PRIVATE SELF-CONSCIOUSNESS DIFFERENCES	JOURNAL OF PERSONALITY	1990	FRANZOI, SL; DAVIS, MH; MARKWIESE, B
A1989AN00800004	SOCIAL CONTACT, LONELINESS, AND MASS-MEDIA USE - A TEST OF 2 HYPOTHESES	JOURNAL OF APPLIED SOCIAL PSYCHOLOGY	1989	DAVIS, MH; KRAUS, LA
A1987J614200020	MAINTENANCE OF SATISFACTION IN ROMANTIC RELATIONSHIPS - EMPATHY AND RELATIONAL COMPETENCE	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1987	DAVIS, MH; OATHOUT, HA
A1987F642800015	EMOTIONAL-REACTIONS TO DRAMATIC FILM STIMULI - THE INFLUENCE OF COGNITIVE AND EMOTIONAL EMPATHY	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1987	DAVIS, MH; HULL, JG; YOUNG, RD; WARREN, GG
A1986D847600012	ADOLESCENT LONELINESS, SELF-DISCLOSURE, AND PRIVATE SELF-CONSCIOUSNESS - A LONGITUDINAL INVESTIGATION	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1986	DAVIS, MH; FRANZOI, SL
A1985ADU4900024	ADOLESCENT SELF-DISCLOSURE AND LONELINESS - PRIVATE SELF-CONSCIOUSNESS AND PARENTAL INFLUENCES	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1985	FRANZOI, SL; DAVIS, MH
A1985AJS8300023	THE EFFECTS OF PRIVATE SELF-CONSCIOUSNESS AND PERSPECTIVE TAKING ON SATISFACTION IN CLOSE RELATIONSHIPS	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1985	FRANZOI, SL; DAVIS, MH; YOUNG, RD
A1983QX75900003	THE EFFECTS OF DISPOSITIONAL EMPATHY ON EMOTIONAL-REACTIONS AND HELPING - A MULTIDIMENSIONAL APPROACH	JOURNAL OF PERSONALITY	1983	DAVIS, MH
A1983PY32000010	MEASURING INDIVIDUAL-DIFFERENCES IN EMPATHY - EVIDENCE FOR A MULTIDIMENSIONAL APPROACH	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1983	DAVIS, MH
A1983RR96300005	EMPATHIC CONCERN AND THE MUSCULAR-DYSTROPHY TELETHON - EMPATHY AS A MULTIDIMENSIONAL CONSTRUCT	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	1983	DAVIS, MH
000209511400001	PERSPECTIVE-TAKING, SELF-CONSCIOUSNESS, AND ACCURACY IN PERSON PERCEPTION	BASIC AND APPLIED SOCIAL PSYCHOLOGY	1982	BERNSTEIN, WM; DAVIS, MH
A1982QA17400004	VOTING INTENTIONS AND THE 1980 CARTER-REAGAN DEBATE	JOURNAL OF APPLIED SOCIAL PSYCHOLOGY	1982	DAVIS, MH
A1981MM84700001	BELIEFS AND ATTITUDES IN A GUBERNATORIAL PRIMARY - SOME LIMITATIONS ON THE FISHBEIN MODEL	JOURNAL OF APPLIED SOCIAL PSYCHOLOGY	1981	DAVIS, MH; RUNGE, TE
A1981LR08600018	THE ROLE OF DISPOSITIONAL EMPATHY AND SOCIAL EVALUATION IN THE EMPATHIC MEDIATION OF HELPING	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1981	ARCHER, RL; DIAZLOVING, R; GOLLWITZER, PM; DAVIS, MH; FOUSHEE, HC
A1980KP20600004	ATTRIBUTIONS FOR EXAM PERFORMANCE	JOURNAL OF APPLIED SOCIAL PSYCHOLOGY	1980	DAVIS, MH; STEPHAN, WG
A1980JZ60400006	THE EFFECTS OF COGNITIVE AND BEHAVIORAL-CONTROL ON POST-STRESS PERFORMANCE	JOURNAL OF HUMAN STRESS	1980	FOUSHEE, HC; DAVIS, MH; STEPHAN, WG; BERNSTEIN, WM
A1979HM23300006	EMOTIONAL EMPATHY IN A COURTROOM SIMULATION - PERSON-SITUATION INTERACTION	JOURNAL OF APPLIED SOCIAL PSYCHOLOGY	1979	ARCHER, RL; FOUSHEE, HC; DAVIS, MH
A1979HU53800016	EXPLAINING ATTRIBUTIONS FOR ACHIEVEMENT - PATH ANALYTIC APPROACH	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1979	BERNSTEIN, WM; STEPHAN, WG; DAVIS, MH
A1979GX48300009	CHANGES IN EVALUATIVE BELIEFS AS A FUNCTION OF BEHAVIORAL COMMITMENT	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	1979	DAVIS, MH
A1979GN55500001	ATTRIBUTIONS FOR ACHIEVEMENT - EGOTISM VS EXPECTANCY CONFIRMATION	US SOCIAL PSYCHOLOGY	1979	STEPHAN, WG; BERNSTEIN, WM; STEPHAN, C; DAVIS, MH
000233203600004	SEXUAL ASSAULT EDUCATION PROGRAMS: A META-ANALYTIC EXAMINATION OF THEIR EFFECTIVENESS	PSYCHOLOGY OF WOMEN QUARTERLY	2005	ANDERSON, LA; WHISTON, SC
000221766600004	STORYTELLING AS A WAY TO WORK THROUGH INTRACTABLE CONFLICTS: THE GERMAN-JEWISH EXPERIENCE AND ITS RELEVANCE TO THE PALESTINIAN-ISRAELI CONTEXT	JOURNAL OF SOCIAL ISSUES	2004	BAR-ON, D; KASSEM, F
A1997WC93600009	EMPATHY AND ATTITUDES: CAN FEELING FOR A MEMBER OF A STIGMATIZED GROUP IMPROVE FEELINGS TOWARD THE GROUP?	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1997	BATSON, CD; POLYCARPOU, MP; HARMON-JONES, E; IMHOFF, HJ; MITCHENER, EC; BEDNAR, LL; KLEIN, TR; HIGHBERGER, L
000179255300004	EMPATHY, ATTITUDES, AND ACTION: CAN FEELING FOR A MEMBER OF A STIGMATIZED GROUP MOTIVATE ONE TO HELP THE GROUP?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2002	BATSON, CD; CHANG, J; ORR, R; ROWLAND, J
000080361400002	RAPE PREVENTION EDUCATION FOR MEN: THE EFFECTIVENESS OF EMPATHY-INDUCTION TECHNIQUES	JOURNAL OF COLLEGE STUDENT DEVELOPMENT	1999	BERG, DR; LONSWAY, KA; FITZGERALD, LF
000272074900005	CULTIVATING EMPATHY FOR THE MENTALLY ILL USING SIMULATED AUDITORY HALLUCINATIONS	ACADEMIC PSYCHIATRY	2009	BUNN, WILLIAM; TERPSTRA, JAN
A1990CN05800015	THE EFFECTS OF TRAINING IN SOCIAL-PERSPECTIVE TAKING ON SOCIALLY MALADJUSTED GIRLS	CHILD DEVELOPMENT	1990	CHALMERS, JB; TOWNSEND, MAR
000223595800007	BIASES IN SOCIAL COMPARATIVE JUDGMENTS: THE ROLE OF NONMOTIVATED FACTORS IN ABOVE-AVERAGE AND COMPARATIVE-OPTIMISM EFFECTS	PSYCHOLOGICAL BULLETIN	2004	CHAMBERS, JR; WINDSCHITL, PD
A1973R338500003	TRANSGRESSION AND ALTRUISM - CASE FOR HEDONISM	JOURNAL OF EXPERIMENTAL PSYCHOLOGY	1973	CIALDINI, RB; DARBY, BL; VINCENT, JE
000248008100008	USING THEATER TO TEACH CLINICAL EMPATHY: A PILOT STUDY	JOURNAL OF GENERAL INTERNAL MEDICINE	2007	DOW, ALAN W.; LEONG, DAVID; ANDERSON, AARON; WENZEL, RICHARD P.
A1990FQ56400005	EMPATHY - CONCEPTUALIZATION, MEASUREMENT, AND RELATION TO PROSOCIAL BEHAVIOR	MOTIVATION AND EMOTION	1990	EISENBERG, N; FABES, RA
A1978ES90600001	OUTCOME STUDY OF SHORT-TERM COMMUNICATION TRAINING WITH MARRIED-COUPLES	JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY	1978	EPSTEIN, N; JACKSON, E
000236015800001	EFFECTS OF TWO VERSIONS OF AN EMPATHY-BASED RAPE PREVENTION PROGRAM ON FRATERNITY MEN'S SURVIVOR EMPATHY, ATTITUDES, AND BEHAVIORAL INTENT TO COMMIT RAPE OR SEXUAL ASSAULT	JOURNAL OF COLLEGE STUDENT DEVELOPMENT	2006	FOUBERT, JD; NEWBERRY, JT
000189385100007	EFFECTS OF A PSYCHOLOGICAL INTERVENTION ON FACTORS OF EMOTIONAL DEVELOPMENT DURING ADOLESCENCE	EUROPEAN JOURNAL OF PSYCHOLOGICAL ASSESSMENT	2004	GARAIGORDOBIL, M
A1994PY84800019	THE TEACHING OF EMPATHY FOR HIGH-SCHOOL AND COLLEGE-STUDENTS - TESTING ROGERIAN METHODS WITH THE INTERPERSONAL REACTIVITY INDEX	ADOLESCENCE	1994	HATCHER, SL; NADEAU, MS; WALSH, LK; REYNOLDS, M; GALEA, J; MARZ, K
A1990DW35200003	EMPATHY TRAINING FOR HOSPITAL STAFF NURSES	GROUP & ORGANIZATION STUDIES	1990	HERBEK, TA; YAMMARINO, FJ
000269278800049	EXPERIENCING ALIEN-NATION: EFFECTS OF A SIMULATION INTERVENTION ON ATTITUDES TOWARD HOMOSEXUALS	JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY	2009	HODSON, GORDON; CHOMA, BECKY L.; COSTELLO, KIMBERLY
A1969D534900013	DEVELOPMENT OF AN EMPATHY SCALE	JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY	1969	HOGAN, R
000249206400001	MEDIATORS OF THE DEVELOPMENT AND PREVENTION OF VIOLENT BEHAVIOR	PREVENTION SCIENCE	2007	JAGERS, ROBERT J.; MORGAN-LOPEZ, ANTONIO A.; HOWARD, TERRY-LEE; BROWNE, DOROTHY C.; FLAY, BRIAN R.; COINVESTIGATORS, ABAN AYA
000256170700005	SOCIAL AND EMOTIONAL TRAINING IN SWEDISH CLASSROOMS FOR THE PROMOTION OF MENTAL HEALTH: RESULTS FROM AN EFFECTIVENESS STUDY IN SWEDEN	HEALTH PROMOTION INTERNATIONAL	2008	KIMBER, BIRGITTA; SANDELL, ROLF; BREMBERG, SVEN
A1994PM01700004	THE TRULY FALSE CONSENSUS EFFECT - AN INERADICABLE AND EGOCENTRIC BIAS IN SOCIAL-PERCEPTION	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1994	KRUEGER, J; CLEMENT, RW
A1987K088400010	RAPE PREVENTION - EXPERIENTIAL TRAINING FOR MEN	JOURNAL OF COUNSELING AND DEVELOPMENT	1987	LEE, LA
000081753900002	UNDERSTANDING THE ONE YOU LOVE: A LONGITUDINAL ASSESSMENT OF AN EMPATHY TRAINING PROGRAM FOR COUPLES IN ROMANTIC RELATIONSHIPS	FAMILY RELATIONS	1999	LONG, ECJ; ANGERA, JJ; CARTER, SJ; NAKAMOTO, M; KALSO, M
000233457500005	LONG-TERM EFFECTS OF PEACE WORKSHOPS IN PROTRACTED CONFLICTS	JOURNAL OF CONFLICT RESOLUTION	2005	MALHOTRA, D; LIYANAGE, S
A1997XM66500008	INTERPERSONAL FORGIVING IN CLOSE RELATIONSHIPS	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1997	MCCULLOUGH, ME; WORTHINGTON, EL; RACHAL, KC
A1972O315600003	MEASURE OF EMOTIONAL EMPATHY	JOURNAL OF PERSONALITY	1972	MEHRABIAN, A; EPSTEIN, N
000263729700005	REDUCING INTERGROUP PREJUDICE AND CONFLICT USING THE MEDIA: A FIELD EXPERIMENT IN RWANDA	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	2009	PALUCK, ELIZABETH LEVY
000077863700006	AN ACQUAINTANCE RAPE PREVENTION PROGRAM - EFFECTS ON ATTITUDES TOWARD WOMEN, RAPE-RELATED ATTITUDES, AND PERCEPTIONS OF RAPE SCENARIOS	PSYCHOLOGY OF WOMEN QUARTERLY	1998	PINZONE-GLOVER, HA; GIDYCZ, CA; JACOBS, CD
000278485100011	EVALUATION OF A SEXUAL ASSAULT EDUCATION/PREVENTION PROGRAM FOR MALE US NAVY PERSONNEL	MILITARY MEDICINE	2010	RAU, TERRI J.; MERRILL, LEX L.; MCWHORTER, STEPHANIE K.; STANDER, VALERIE A.; THOMSEN, CYNTHIA J.; DYSLIN, CHRISTOPHER W.; CROUCH, JULIE L.; RABENHORST, MANDY M.; MILNER, JOEL S.
A1995RV80400007	IMPROVING PHYSICIANS INTERVIEWING SKILLS AND REDUCING PATIENTS EMOTIONAL DISTRESS - A RANDOMIZED CLINICAL-TRIAL	ARCHIVES OF INTERNAL MEDICINE	1995	ROTER, DL; HALL, JA; KERN, DE; BARKER, LR; COLE, KA; ROCA, RP
A1978EY96200004	TRAINING MEDICAL-STUDENTS TO EMPATHIZE - EXPERIMENTAL-STUDY	MEDICAL JOURNAL OF AUSTRALIA	1978	SANSONFISHER, RW; POOLE, AD
8060907	SEXUAL ABUSE PREVENTION WITH HIGH-RISK MALES: THE ROLES OF VICTIM EMPATHY AND RAPE MYTHS.	Violence and victims	1993	SCHEWE, P A; O'DONOHUE, W
A1996VL80700002	RAPE PREVENTION WITH HIGH-RISK MALES: SHORT-TERM OUTCOME OF TWO INTERVENTIONS	ARCHIVES OF SEXUAL BEHAVIOR	1996	SCHEWE, PA; ODONOHUE, W
000286551100014	EFFECTS OF A BRIEF VIDEO INTERVENTION ON WHITE UNIVERSITY STUDENTS' RACIAL ATTITUDES	JOURNAL OF COUNSELING PSYCHOLOGY	2011	SOBLE, JASON R.; SPANIERMAN, LISA B.; LIAO, HSIN-YA
000229903400001	HEALING, RECONCILIATION, FORGIVING AND THE PREVENTION OF VIOLENCE AFTER GENOCIDE OR MASS KILLING: AN INTERVENTION AND ITS EXPERIMENTAL EVALUATION IN RWANDA	JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY	2005	STAUB, E; PEARLMAN, LA; GUBIN, A; HAGENGIMANA, A
A1976CJ31900003	EFFECT OF INSTRUCTIONS AND MODELING ON TRAINEES LOW IN INTERPERSONAL-COMMUNICATION SKILLS	JOURNAL OF COUNSELING PSYCHOLOGY	1976	UHLEMANN, MR; LEA, GW; STONE, GL
000175907500009	TOWARDS MORE EMPATHIC MEDICAL STUDENTS: A MEDICAL STUDENT HOSPITALIZATION EXPERIENCE	MEDICAL EDUCATION	2002	WILKES, M; MILGROM, E; HOFFMAN, JR
7666389	TEACHING WITH ENTERTAINMENT FILMS: AN EMPATHETIC FOCUS.	Journal of psychosocial nursing and mental health services	1995	WILT, D L; EVANS, G W; MUENCHEN, R; GUEGOLD, G
A1986C109000010	THE DISTINCTION BETWEEN SYMPATHY AND EMPATHY - TO CALL FORTH A CONCEPT, A WORD IS NEEDED	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1986	WISPE, L
000448692200003	VALIDATION OF BASIC EMPATHY SCALE: EXPLORING A KOREAN VERSION	CURRENT PSYCHOLOGY	2018	YOU, S; LEE, J; LEE, Y
000451863800002	ASSOCIATIONS BETWEEN LEARNING COMMUNITY ENGAGEMENT AND BURNOUT, QUALITY OF LIFE, AND EMPATHY AMONG MEDICAL STUDENTS	INTERNATIONAL JOURNAL OF MEDICAL EDUCATION	2018	TACKETT, S; WRIGHT, SM; COLBERT-GETZ, JM; SHOCHET, RB
000451234400001	AN INVESTIGATION INTO THE RELATIONSHIP BETWEEN ONSET AGE OF MUSICAL LESSONS AND LEVELS OF SOCIABILITY IN CHILDHOOD	FRONTIERS IN PSYCHOLOGY	2018	KAWASE, S; OGAWA, J; OBATA, S; HIRANO, T
000494226000004	RELATIONSHIP BETWEEN LEADER'S EMPATHIC DISPOSITION AND AUTHORIZATION OF IDIOSYNCRATIC DEALS AN EMPIRICAL STUDY	JOURNAL OF INDIAN BUSINESS RESEARCH	2018	RAO, B; KUNJA, SR
000447710000002	PSYCHOPATHY, THE BIG FIVE AND EMPATHY AS PREDICTORS OF VIOLENCE IN A FORENSIC SAMPLE OF SUBSTANCE ABUSERS	JOURNAL OF FORENSIC PSYCHIATRY & PSYCHOLOGY	2018	NIGEL, SM; DUDECK, M; OTTE, S; KNAUER, K; KLEIN, V; BOTTCHER, T; MAASS, C; VASIC, N; STREB, J
000458677700008	ASSESSMENT OF EFFECTIVENESS OF A COMMUNICATION SKILLS PROGRAM FOR NURSING STUDENTS	REVISTA ROL DE ENFERMERIA	2018	PIMENTEL, E; FERREIRA, M
000458408700007	PICTORIAL EMPATHY TEST (PET) AN EASY-TO-USE METHOD FOR ASSESSING AFFECTIVE EMPATHIC REACTIONS	EUROPEAN JOURNAL OF PSYCHOLOGICAL ASSESSMENT	2018	LINDEMAN, M; KOIRIKIVI, L; LIPSANEN, J
000456665500004	HOLISTIC COGNITIVE AND NEURAL PROCESSES: A FNIRS-HYPERSCANNING STUDY ON INTERPERSONAL SENSORIMOTOR SYNCHRONIZATION	SOCIAL COGNITIVE AND AFFECTIVE NEUROSCIENCE	2018	DAI, RN; LIU, R; LIU, T; ZHANG, Z; XIAO, X; SUN, PP; YU, XT; WANG, DH; ZHU, CZ
000456665500006	CAPACITY FOR UPREGULATION OF EMOTIONAL PROCESSING IN PSYCHOPATHY: ALL YOU HAVE TO DO IS ASK	SOCIAL COGNITIVE AND AFFECTIVE NEUROSCIENCE	2018	SHANE, MS; GROAT, LL
000456810600005	RELIGIOUS COMMITMENT AND EMPATHIC CONCERN AN EMPIRICAL STUDY OF GERMAN YOUTH	JOURNAL OF EMPIRICAL THEOLOGY	2018	ZIEBERTZ, HG
000450384000015	HOW HANDWRITING REDUCES NEGATIVE ONLINE RATINGS	ANNALS OF TOURISM RESEARCH	2018	TASSIELLO, V; VIGLIA, G; MATTILA, AS
000452345700045	FACTORS INFLUENCING THE DEVELOPMENT OF EMPATHY AND PRO-SOCIAL BEHAVIOUR AMONG ADOLESCENTS: A SYSTEMATIC REVIEW	CHILDREN AND YOUTH SERVICES REVIEW	2018	SILKE, C; BRADY, B; BOYLAN, C; DOLAN, P
000449237500005	SOCIAL OBSERVATION INCREASES DEONTOLOGICAL JUDGMENTS IN MORAL DILEMMAS	EVOLUTION AND HUMAN BEHAVIOR	2018	LEE, M; SUL, S; KIM, H
000449137500011	THE INFLUENCE OF TRAIT EMPATHY ON REACTIVE AGGRESSION: AN ERP STUDY	INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY	2018	SONG, P; ZHANG, Z; WANG, B; DAVID, N; ZHAO, H; WANG, QL; XIAO, YQ; YANG, B
000449116100002	WORTHY OF SWIFT TRUST? HOW BRIEF INTERPERSONAL CONTACT AFFECTS TRUST ACCURACY	JOURNAL OF APPLIED PSYCHOLOGY	2018	SCHILKE, O; HUANG, L
000446285000002	CUSTOMER VALUE CO-CREATION BEHAVIOR: A DYADIC EXPLORATION OF THE INFLUENCE OF SALESPERSON EMOTIONAL INTELLIGENCE ON CUSTOMER PARTICIPATION AND CITIZENSHIP BEHAVIOR	JOURNAL OF BUSINESS RESEARCH	2018	DELPECHITRE, D; BEELER-CONNELLY, LL; CHAKER, NN
000448450200008	NEURAL CORRELATES OF CHANGES IN SEXUAL FUNCTION IN FRONTOTEMPORAL DEMENTIA: IMPLICATIONS FOR REWARD AND PHYSIOLOGICAL FUNCTIONING	JOURNAL OF NEUROLOGY	2018	AHMED, RM; GOLDBERG, ZL; KAIZIK, C; KIERNAN, MC; HODGES, JR; PIGUET, O; IRISH, M
000451450400016	DOES LEADERSHIP LESSEN TURNOVER? THE MODERATED MEDIATION EFFECT OF LEADER-MEMBER EXCHANGE AND PERSPECTIVE TAKING ON PUBLIC SERVANTS	JOURNAL OF PUBLIC AFFAIRS	2018	SIYAL, S; PENG, XB
000449627200024	THE MANY GIFTS OF STATUS: HOW ATTENDING TO AUDIENCE REACTIONS DRIVES THE USE OF STATUS	MANAGEMENT SCIENCE	2018	SHARKEY, AJ; KOVACS, B
000442058800023	FROM MORAL JUDGMENTS TO PROSOCIAL BEHAVIOR: MULTIPLE PATHWAYS IN ADOLESCENTS AND DIFFERENT PATHWAYS IN BOYS AND GIRLS	PERSONALITY AND INDIVIDUAL DIFFERENCES	2018	LI, J; HAO, J; SHI, BG
000449902700092	EMPATHY AND ALTRUISTIC BEHAVIOR IN ANTISOCIAL VIOLENT OFFENDERS WITH PSYCHOPATHIC TRAITS	PSYCHIATRY RESEARCH	2018	MAYER, SV; JUSYTE, A; KLIMECKI-LENZ, OM; SCHONENBERG, M
000449710100003	MOTIVATING EMPATHY: THREE METHODOLOGICAL RECOMMENDATIONS FOR MAPPING EMPATHY	SOCIAL AND PERSONALITY PSYCHOLOGY COMPASS	2018	CAMERON, CD
000449504000007	LINKING MOTIVATIONAL CLIMATE WITH MORAL BEHAVIOR IN YOUTH SPORT: THE ROLE OF SOCIAL SUPPORT, PERSPECTIVE TAKING, AND MORAL DISENGAGEMENT	SPORT EXERCISE AND PERFORMANCE PSYCHOLOGY	2018	STANGER, N; BACKHOUSE, SH; JENNINGS, A; MCKENNA, J
