PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Mizrahi, M; Reis, HT; Maniaci, MR; Birnbaum, GE				Mizrahi, Moran; Reis, Harry T.; Maniaci, Michael R.; Birnbaum, Gurit E.			When insecurity dampens desire: Attachment anxiety in men amplifies the decline in sexual desire during the early years of romantic relationships	EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY																Mizrahi, Moran/K-6206-2019	Mizrahi, Moran/0000-0003-2732-7372; Birnbaum, Gurit/0000-0002-2033-4839												0046-2772	1099-0992				OCT	2019	49	6					1223	1236		10.1002/ejsp.2567							WOS:000486513900009						
J	Mahmut, MK; Croy, I				Mahmut, Mehmet K.; Croy, Ilona			The role of body odors and olfactory ability in the initiation, maintenance and breakdown of romantic relationships - A review	PHYSIOLOGY & BEHAVIOR																	Mahmut, Mehmet/0000-0002-9228-0884												0031-9384					AUG 1	2019	207						179	184		10.1016/j.physbeh.2019.05.003							WOS:000471359600022	31077678					
J	Seguin, LJ				Seguin, Lea J.			The good, the bad, and the ugly: Lay attitudes and perceptions of polyamory	SEXUALITIES																													1363-4607	1461-7382				JUN	2019	22	4					669	690		10.1177/1363460717713382							WOS:000468806800010						
J	Carswell, KL; Finkel, EJ; Kumashiro, M				Carswell, Kathleen L.; Finkel, Eli J.; Kumashiro, Madoka			Creativity and Romantic Passion	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY																													0022-3514	1939-1315				JUN	2019	116	6					919	941		10.1037/pspi0000162							WOS:000467409600003	30688479					
J	Liu, JH; Jackson, T				Liu, Juhong; Jackson, Todd			Testing integrated models of relationship satisfaction among married Chinese couples using the actor-partner interdependence model	JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS																													0265-4075	1460-3608				APR	2019	36	4					1256	1277		10.1177/0265407518757708							WOS:000461585700009						
B	Ferreira, I; Hernandez-Ortega, B		Soliman, KS		Ferreira, Ivani; Hernandez-Ortega, Blanca			The Consumer Experience with Intelligent Technologies: Applying an Interpersonal Perspective Starting from the Triangular Theory of Love	VISION 2025: EDUCATION EXCELLENCE AND MANAGEMENT OF INNOVATIONS THROUGH SUSTAINABLE ECONOMIC COMPETITIVE ADVANTAGE					34th International-Business-Information-Management-Association (IBIMA) Conference	NOV 13-14, 2019	Madrid, SPAIN	Int Business Informat Management Assoc																							978-0-9998551-3-3				2019							6686	6697									WOS:000556337409009						
J	Togay, A; Sahin, I; Atici, M				Togay, Ahmet; Sahin, Irem; Atici, Meral			Examining the Effectiveness of a Romantic Relationship Skills Psychoeducation Program: A Pilot Study	STUDIES IN PSYCHOLOGY-PSIKOLOJI CALISMALARI DERGISI																TOGAY, AHMET/G-5606-2018	TOGAY, AHMET/0000-0002-7611-5125												1304-4680	2602-2982					2019	39	1					121	149		10.26650/SP2018-0033							WOS:000473207300006						
J	Birnbaum, GE				Birnbaum, Gurit E.			The Fragile Spell of Desire: A Functional Perspective on Changes in Sexual Desire Across Relationship Development	PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW																	Birnbaum, Gurit/0000-0002-2033-4839												1088-8683	1532-7957				MAY	2018	22	2					101	127		10.1177/1088868317715350							WOS:000429908600002	28645226					
J	Mizrahi, M; Kanat-Maymon, Y; Birnbaum, GE				Mizrahi, Moran; Kanat-Maymon, Yaniv; Birnbaum, Gurit E.			You haven't been on my mind lately: Partner responsiveness mediates the link between attachment insecurity and sexual fantasies	JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS																Mizrahi, Moran/K-6206-2019	Mizrahi, Moran/0000-0003-2732-7372; Birnbaum, Gurit/0000-0002-2033-4839												0265-4075	1460-3608				MAY	2018	35	4			SI		440	459		10.1177/0265407517743083							WOS:000429884800002						
J	Kalka, D				Kalka, Dorota			Sexual Satisfaction, Relationship Satisfaction, and Quality of Life in Individuals with Type 2 Diabetes: Evidence from Poland	SEXUALITY AND DISABILITY																													0146-1044	1573-6717				MAR	2018	36	1					69	86		10.1007/s11195-017-9516-6							WOS:000426075400006						
J	Kalka, D				Kalka, Dorota			Depressive symptoms, sexual satisfaction and satisfaction with a relationship in individuals with type 2 diabetes and sexual dysfunctions	PSYCHIATRIA POLSKA																													0033-2674						2018	52	6					1087	1099		10.12740/PP/OnlineFirst/85192							WOS:000457291400012	30659569					
J	Tabrani, M; Amin, M; Nizam, A				Tabrani, Mirza; Amin, Muslim; Nizam, Ahmad			Trust, commitment, customer intimacy and customer loyalty in Islamic banking relationships	INTERNATIONAL JOURNAL OF BANK MARKETING																Amin, Muslim/M-6011-2018	Amin, Muslim/0000-0003-0818-5663												0265-2323	1758-5937					2018	36	5					823	848		10.1108/IJBM-03-2017-0054							WOS:000456883300002						
J	Aykutoglu, B; Uysal, A				Aykutoglu, Bulent; Uysal, Ahmet			The Relationship between Intimacy Change and Passion: A Dyadic Diary Study	FRONTIERS IN PSYCHOLOGY																Aykutoglu, Bulent/ABB-8498-2020	Aykutoglu, Bulent/0000-0003-4288-7546												1664-1078					DEC 22	2017	8								2257	10.3389/fpsyg.2017.02257							WOS:000418701900001	29312093					
J	Zsok, F; Haucke, M; De Wit, CY; Barelds, DPH				Zsok, Florian; Haucke, Matthias; De Wit, Cornelia Y.; Barelds, Dick P. H.			What kind of love is love at first sight? An empirical investigation	PERSONAL RELATIONSHIPS																													1350-4126	1475-6811				DEC	2017	24	4					869	885		10.1111/pere.12218							WOS:000417247300010						
J	Sorokowski, P; Sorokowska, A; Butovskaya, M; Karwowski, M; Groyecka, A; Wojciszke, B; Pawlowski, B				Sorokowski, Piotr; Sorokowska, Agnieszka; Butovskaya, Marina; Karwowski, Maciej; Groyecka, Agata; Wojciszke, Bogdan; Pawlowski, Boguslaw			Love Influences Reproductive Success in Humans	FRONTIERS IN PSYCHOLOGY																Karwowski, Maciej/S-4042-2019; Pawlowski, Boguslaw/C-1088-2013; Butovskaya, Marina/E-2368-2016; Groyecka, Agata/AAG-9583-2019	Karwowski, Maciej/0000-0001-6974-1673; Pawlowski, Boguslaw/0000-0002-7418-475X; Butovskaya, Marina/0000-0002-5528-0519; Sorokowska, Agnieszka/0000-0003-3999-8851; Sorokowski, Piotr/0000-0001-9225-9965												1664-1078					NOV 21	2017	8								1922	10.3389/fpsyg.2017.01922							WOS:000415788200001	29209243					
J	Rosenberg, NE; Graybill, LA; Wesevich, A; McGrath, N; Golin, CE; Maman, S; Bhushan, N; Tsidya, M; Chimndozi, L; Hoffman, IF; Hosseinipour, MC; Miller, WC				Rosenberg, Nora E.; Graybill, Lauren A.; Wesevich, Austin; McGrath, Nuala; Golin, Carol E.; Maman, Suzanne; Bhushan, Nivedita; Tsidya, Mercy; Chimndozi, Limbikani; Hoffman, Irving F.; Hosseinipour, Mina C.; Miller, William C.			The Impact of Couple HIV Testing and Counseling on Consistent Condom Use Among Pregnant Women and Their Male Partners: An Observational Study	JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES																Miller, William C/H-4800-2014; Wesevich, Austin/AAK-3062-2020	Miller, William C/0000-0002-1934-7827; Wesevich, Austin/0000-0001-5202-1231; McGrath, Nuala/0000-0002-1039-0159; Graybill, Lauren/0000-0002-8679-642X												1525-4135	1077-9450				AUG 1	2017	75	4					417	425		10.1097/QAI.0000000000001398							WOS:000405554600006	28426440					
J	Liu, JH; Wang, Y; Jackson, T				Liu, Juhong; Wang, Yang; Jackson, Todd			Towards explaining relationship dissatisfaction in Chinese dating couples: Relationship disillusionment, emergent distress, or insecure attachment style?	PERSONALITY AND INDIVIDUAL DIFFERENCES																													0191-8869					JUL 1	2017	112						42	48		10.1016/j.paid.2017.02.041							WOS:000400201300008						
J	Meltzer, AL; McNulty, JK; Maner, JK				Meltzer, Andrea L.; McNulty, James K.; Maner, Jon K.			Women Like Being Valued for Sex, as Long as it is by a Committed Partner	ARCHIVES OF SEXUAL BEHAVIOR																													0004-0002	1573-2800				FEB	2017	46	2					475	488		10.1007/s10508-015-0622-1							WOS:000393640100018	26626185					
J	Guilbault, V; Philippe, FL				Guilbault, Valerie; Philippe, Frederick L.			Commitment in romantic relationships as a function of partners' encoding of important couple-related memories	MEMORY																	Guilbault, Valerie/0000-0002-2229-3567												0965-8211	1464-0686					2017	25	5					595	606		10.1080/09658211.2016.1197943							WOS:000399460500003	27310766					
J	Kito, M				Kito, Mie			Shared and unique prototype features of relationship quality concepts	PERSONAL RELATIONSHIPS																													1350-4126	1475-6811				DEC	2016	23	4					759	786		10.1111/pere.12156							WOS:000390564800008						
J	Amichai-Hamburger, Y; Etgar, S				Amichai-Hamburger, Yair; Etgar, Shir			Intimacy and Smartphone Multitasking-A New Oxymoron?	PSYCHOLOGICAL REPORTS																													0033-2941	1558-691X				DEC	2016	119	3					826	838		10.1177/0033294116662658							WOS:000387150700010	27495939					
J	Birnbaum, GE; Reis, HT; Mizrahi, M; Kanat-Maymon, Y; Sass, O; Granovski-Milner, C				Birnbaum, Gurit E.; Reis, Harry T.; Mizrahi, Moran; Kanat-Maymon, Yaniv; Sass, Omri; Granovski-Milner, Chen			Intimately Connected: The Importance of Partner Responsiveness for Experiencing Sexual Desire	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY																Mizrahi, Moran/K-6206-2019	Mizrahi, Moran/0000-0003-2732-7372; Birnbaum, Gurit/0000-0002-2033-4839												0022-3514	1939-1315				OCT	2016	111	4					530	546		10.1037/pspi0000069							WOS:000384563200004	27399250					
J	Holland, KJ; Lee, JW; Marshak, HH; Martin, LR				Holland, Karen J.; Lee, Jerry W.; Marshak, Helen H.; Martin, Leslie R.			Spiritual Intimacy, Marital Intimacy, and Physical/Psychological Well-Being: Spiritual Meaning as a Mediator	PSYCHOLOGY OF RELIGION AND SPIRITUALITY																													1941-1022	1943-1562				AUG	2016	8	3					218	227		10.1037/rel0000062							WOS:000381128900005	27453769					
J	Orosz, G; Szekeres, A; Kiss, ZG; Farkas, P; Roland-Levy, C				Orosz, Gabor; Szekeres, Adam; Kiss, Zoltan G.; Farkas, Peter; Roland-Levy, Christine			Elevated romantic love and jealousy if relationship status is declared on Facebook	FRONTIERS IN PSYCHOLOGY																	Orosz, Gabor/0000-0001-5883-6861; Roland-Levy, Christine/0000-0002-4876-8639												1664-1078					FEB 26	2015	6								214	10.3389/fpsyg.2015.00214							WOS:000349973200001	25767460					
J	Finkel, EJ; Norton, MI; Reis, HT; Ariely, D; Caprariello, PA; Eastwick, PW; Frost, JH; Maniaci, MR				Finkel, Eli J.; Norton, Michael I.; Reis, Harry T.; Ariely, Dan; Caprariello, Peter A.; Eastwick, Paul W.; Frost, Jeana H.; Maniaci, Michael R.			When Does Familiarity Promote Versus Undermine Interpersonal Attraction? A Proposed Integrative Model From Erstwhile Adversaries	PERSPECTIVES ON PSYCHOLOGICAL SCIENCE																													1745-6916	1745-6924				JAN	2015	10	1					3	19		10.1177/1745691614561682							WOS:000348054400001	25910379					
J	Karantzas, GC; Feeney, JA; Goncalves, CV; McCabe, MP				Karantzas, Gery C.; Feeney, Judith A.; Goncalves, Celia V.; McCabe, Marita P.			Towards an integrative attachment-based model of relationship functioning	BRITISH JOURNAL OF PSYCHOLOGY																	McCabe, Marita/0000-0002-4989-8582												0007-1269	2044-8295				AUG	2014	105	3					413	434		10.1111/bjop.12047							WOS:000339437100008	25040008					
J	Matson, PA; Chung, SE; Huettner, S; Ellen, JM				Matson, Pamela A.; Chung, Shang-en; Huettner, Steven; Ellen, Jonathan M.			Understanding Variability in Adolescent Women's Sexually Transmitted Infection-Related Perceptions and Behaviors Associated With Main Sex Partners	SEXUALLY TRANSMITTED DISEASES																													0148-5717	1537-4521				AUG	2014	41	8					475	479		10.1097/OLQ.0000000000000163							WOS:000339243700003	25013974					
J	Stulhofer, A; Ferreira, LC; Landripet, I				Stulhofer, Aleksandar; Ferreira, Luana Cunha; Landripet, Ivan			Emotional intimacy, sexual desire, and sexual satisfaction among partnered heterosexual men	SEXUAL AND RELATIONSHIP THERAPY																	Stulhofer, Aleksandar/0000-0001-5138-3644												1468-1994	1468-1749				APR 3	2014	29	2					229	244		10.1080/14681994.2013.870335							WOS:000334065700005						
J	Ratelle, CF; Carbonneau, N; Vallerand, RJ; Mageau, G				Ratelle, Catherine F.; Carbonneau, Noemie; Vallerand, Robert J.; Mageau, Genevieve			Passion in the romantic sphere: A look at relational outcomes	MOTIVATION AND EMOTION																Vallerand, Robert J/B-3028-2013; Mageau, Genevieve A./E-5499-2014	Vallerand, Robert/0000-0001-5852-8877; Ratelle, Catherine/0000-0002-4789-9274												0146-7239	1573-6644				MAR	2013	37	1					106	120		10.1007/s11031-012-9286-5							WOS:000315436500010						
S	Fan, W		Lee, G		Fan, Wei			The Effects of Gender Difference of the Undergraduates' Sexual Cognition on the View of Love	PSYCHOLOGY, MANAGEMENT AND SOCIAL SCIENCE	Advances in Education Research				International Conference on Psychology, Management and Social Science (PMSS 2013)	JAN 23-24, 2013	Shenzhen, PEOPLES R CHINA	Informat Engn Res Inst, Trans Tech Publicat Inc, Int Mat Sci Soc																					2160-1070		978-1-61275-053-8				2013	17						62	65									WOS:000318886300012						
J	Matson, PA; Chung, SE; Sander, P; Millstein, SG; Ellen, JM				Matson, Pamela A.; Chung, Shang-en; Sander, Petra; Millstein, Susan G.; Ellen, Jonathan M.			The role of feelings of intimacy on perceptions of risk for a sexually transmitted disease and condom use in the sexual relationships of adolescent African-American females	SEXUALLY TRANSMITTED INFECTIONS																													1368-4973					DEC	2012	88	8					617	621		10.1136/sextrans-2012-050536							WOS:000311949000015	22707479					
J	Stewart, DN; Szymanski, DM				Stewart, Destin N.; Szymanski, Dawn M.			Young Adult Women's Reports of Their Male Romantic Partner's Pornography Use as a Correlate of Their Self-Esteem, Relationship Quality, and Sexual Satisfaction	SEX ROLES																													0360-0025					SEP	2012	67	5-6					257	271		10.1007/s11199-012-0164-0							WOS:000307268800001						
J	Crevier, MG; Poulin, F; Boislard, MA				Crevier, Myra G.; Poulin, Francois; Boislard P, Marie-Aude			Continuity between parental relationships and friendships in adolescence and romantic relationships in emerging adulthood	CANADIAN JOURNAL OF BEHAVIOURAL SCIENCE-REVUE CANADIENNE DES SCIENCES DU COMPORTEMENT																													0008-400X	1879-2669				JUL	2012	44	3					222	230									WOS:000306301600006						
J	Bauermeister, JA				Bauermeister, Jose A.			Romantic Ideation, Partner-Seeking, and HIV Risk Among Young Gay and Bisexual Men	ARCHIVES OF SEXUAL BEHAVIOR																Bauermeister, Jose/X-8960-2018	Bauermeister, Jose/0000-0002-9276-2306												0004-0002	1573-2800				APR	2012	41	2					431	440		10.1007/s10508-011-9747-z							WOS:000302036800014	21394660					
J	Rubin, H; Campbell, L				Rubin, Harris; Campbell, Lorne			Day-to-Day Changes in Intimacy Predict Heightened Relationship Passion, Sexual Occurrence, and Sexual Satisfaction: A Dyadic Diary Analysis	SOCIAL PSYCHOLOGICAL AND PERSONALITY SCIENCE																													1948-5506	1948-5514				MAR	2012	3	2					224	231		10.1177/1948550611416520							WOS:000208936300013						
J	Ferreira, LC; Narciso, I; Novo, RF				Ferreira, Luana Cunha; Narciso, Isabel; Novo, Rosa Ferreira			Intimacy, Sexual Desire and Differentiation in Couplehood: A Theoretical and Methodological Review	JOURNAL OF SEX & MARITAL THERAPY																Ferreira, Luana C/D-8212-2012; Novo, Rosa/L-4927-2016	Ferreira, Luana C/0000-0001-8406-3997; Narciso, Isabel/0000-0003-0787-7203; Novo, Rosa/0000-0002-4670-6987												0092-623X	1521-0715					2012	38	3					263	280		10.1080/0092623X.2011.606885							WOS:000303565200003	22533870					
J	Graham, JM				Graham, James M.			Measuring love in romantic relationships: A meta-analysis	JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS																Graham, James/B-5100-2013													0265-4075					SEP	2011	28	6					748	771		10.1177/0265407510389126							WOS:000294667900002						
J	Matson, PA; Adler, NE; Millstein, SG; Tschann, JM; Ellen, JM				Matson, Pamela A.; Adler, Nancy E.; Millstein, Susan G.; Tschann, Jeanne M.; Ellen, Jonathan M.			Developmental Changes in Condom Use Among Urban Adolescent Females: Influence of Partner Context	JOURNAL OF ADOLESCENT HEALTH																													1054-139X	1879-1972				APR	2011	48	4					386	390		10.1016/j.jadohealth.2010.07.016							WOS:000288243800011	21402268					
J	Dailey, RM; Hampel, AD; Roberts, JB				Dailey, Rene M.; Hampel, Alexa D.; Roberts, James B.			Relational Maintenance in On-again/Off-again Relationships: An Assessment of How Relational Maintenance, Uncertainty, and Commitment Vary by Relationship Type and Status	COMMUNICATION MONOGRAPHS																													0363-7751	1479-5787					2010	77	1					75	101		10.1080/03637750903514292							WOS:000276444800004						
J	Dailey, RM; Pfiester, A; Jin, B; Beck, G; Clark, G				Dailey, Rene M.; Pfiester, Abigail; Jin, Borae; Beck, Gary; Clark, Gretchen			On-again/off-again dating relationships: How are they different from other dating relationships?	PERSONAL RELATIONSHIPS																	Jin, Borae/0000-0003-2046-2897												1350-4126					MAR	2009	16	1					23	47		10.1111/j.1475-6811.2009.01208.x							WOS:000264738200003						
J	Graham, JM; Christiansen, K				Graham, James M.; Christiansen, Kenan			The reliability of romantic love: A reliability generalization meta-analysis	PERSONAL RELATIONSHIPS																Graham, James/B-5100-2013													1350-4126					MAR	2009	16	1					49	66		10.1111/j.1475-6811.2009.01209.x							WOS:000264738200004						
