PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Lee, H; You, S; Ji, S; Cho, HK				Lee, Hawon; You, Sujeong; Ji, Sanghoon; Cho, Hye-Kyung			Perspective taking encourages cleaning task performance: a child-robot interaction	INTERNATIONAL JOURNAL OF KNOWLEDGE AND LEARNING																													1741-1009	1741-1017					2016	11	2-3			SI		204	219		10.1504/IJKL.2016.079760							WOS:000390950000011						
J	La Rocca, A; Snehota, I				La Rocca, Antonella; Snehota, Ivan			Corporate associations in B2B: coping with multiple relationship-specific identities	IMP JOURNAL																													2059-1403	0809-7259					2016	10	1					172	188		10.1108/IMP-06-2015-0031							WOS:000388975700008						
J	Limbu, YB; Jayachandran, C; Babin, BJ; Peterson, RT				Limbu, Yam B.; Jayachandran, C.; Babin, Barry J.; Peterson, Robin T.			Empathy, nonverbal immediacy, and salesperson performance: the mediating role of adaptive selling behavior	JOURNAL OF BUSINESS & INDUSTRIAL MARKETING																													0885-8624	2052-1189					2016	31	5					654	667		10.1108/JBIM-03-2015-0048							WOS:000381362800008						
J	Lee, J; Ok, C				Lee, JungHoon (Jay); Ok, Chihyung (Michael)			Examination of Factors Affecting Hotel Employees' Service Orientation: An Emotional Labor Perspective	JOURNAL OF HOSPITALITY & TOURISM RESEARCH																LEE, JUNGHOON/X-3639-2019													1096-3480	1557-7554				NOV	2015	39	4					437	468		10.1177/1096348013491593							WOS:000363278400002						
J	Mcmullen, JS				Mcmullen, Jeffery S.			Entrepreneurial judgment as empathic accuracy: a sequential decision-making approach to entrepreneurial action	JOURNAL OF INSTITUTIONAL ECONOMICS																													1744-1374	1744-1382				SEP	2015	11	3					651	681		10.1017/S1744137413000386							WOS:000359282800015						
J	Case, KA; Hensley, R; Anderson, A				Case, Kim A.; Hensley, Rachel; Anderson, Amber			Reflecting on Heterosexual and Male Privilege: Interventions to Raise Awareness	JOURNAL OF SOCIAL ISSUES																													0022-4537	1540-4560				DEC	2014	70	4			SI		722	740		10.1111/josi.12088							WOS:000346068000008						
S	Vorauer, J	Zanna, MP	Olson, JM		Vorauer, Jacquie	Zanna, MP		The Case For and Against Perspective-Taking	ADVANCES IN EXPERIMENTAL SOCIAL PSYCHOLOGY, VOL 48	Advances in Experimental Social Psychology																												0065-2601		978-0-12-407188-9				2013	48						59	115		10.1016/B978-0-12-407188-9.00002-8							WOS:000319779700002						
J	Salazar, MR; Lant, TK; Fiore, SM; Salas, E				Salazar, Maritza R.; Lant, Theresa K.; Fiore, Stephen M.; Salas, Eduardo			Facilitating Innovation in Diverse Science Teams Through Integrative Capacity	SMALL GROUP RESEARCH																	Fiore, Stephen/0000-0003-3529-1322												1046-4964	1552-8278				OCT	2012	43	5					527	558		10.1177/1046496412453622							WOS:000308885400001						
J	Rafaeli, A; Erez, A; Ravid, S; Derfler-Rozin, R; Treister, DE; Scheyer, R				Rafaeli, Anat; Erez, Amir; Ravid, Shy; Derfler-Rozin, Rellie; Treister, Dorit Efrat; Scheyer, Ravit			When Customers Exhibit Verbal Aggression, Employees Pay Cognitive Costs	JOURNAL OF APPLIED PSYCHOLOGY																Efrat Treister, Dorit/E-3848-2015; Treister, Dorit Efrat/O-5335-2019	Efrat Treister, Dorit/0000-0003-0827-5255; Treister, Dorit Efrat/0000-0003-0827-5255												0021-9010					SEP	2012	97	5					931	950		10.1037/a0028559							WOS:000308775000002	22582725					
J	Wieseke, J; Geigenmuller, A; Kraus, F				Wieseke, Jan; Geigenmueller, Anja; Kraus, Florian			On the Role of Empathy in Customer-Employee Interactions	JOURNAL OF SERVICE RESEARCH																	Kraus, Florian/0000-0001-6807-6544												1094-6705	1552-7379				AUG	2012	15	3					316	331		10.1177/1094670512439743							WOS:000306667600005						
J	Ye, Z; Kopyciok, R; Mohammadi, B; Kramer, UM; Brunnlieb, C; Heldmann, M; Samii, A; Munte, TF				Ye, Zheng; Kopyciok, Robert; Mohammadi, Bahram; Kraemer, Ulrike M.; Brunnlieb, Claudia; Heldmann, Marcus; Samii, Amir; Muente, Thomas F.			Androgens Modulate Brain Networks of Empathy in Female-to-Male Transsexuals: An fMRI Study	ZEITSCHRIFT FUR NEUROPSYCHOLOGIE																Kramer, Ulrike M./A-8871-2019; Munte, Thomas/C-2077-2014; Kramer, Ulrike/AAF-2966-2020	Kramer, Ulrike M./0000-0002-3841-1812; 												1016-264X	1664-2902				DEC	2011	22	4					263	277		10.1024/1016-264X/a000056							WOS:000298573900003						
J	Palomares, NA				Palomares, Nicholas A.			The Dynamics of Goal Congruency and Cognitive Busyness in Goal Detection	COMMUNICATION RESEARCH																	Palomares, Nicholas/0000-0002-7754-6357												0093-6502	1552-3810				AUG	2011	38	4					517	542		10.1177/0093650210380866							WOS:000291996200004						
J	Konrath, SH; O'Brien, EH; Hsing, C				Konrath, Sara H.; O'Brien, Edward H.; Hsing, Courtney			Changes in Dispositional Empathy in American College Students Over Time: A Meta-Analysis	PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW																	Konrath, Sara/0000-0001-9182-0095												1088-8683	1532-7957				MAY	2011	15	2					180	198		10.1177/1088868310377395							WOS:000289169800003	20688954					
B	Hodges, SD; Clark, BAM; Myers, MW		BiswasDiener, R		Hodges, Sara D.; Clark, Brian A. M.; Myers, Michael W.			Better Living Through Perspective Taking	POSITIVE PSYCHOLOGY AS SOCIAL CHANGE																Clark, Brian A. M./L-6430-2019															978-90-481-9937-2				2011							193	218		10.1007/978-90-481-9938-9_12	10.1007/978-90-481-9938-9						WOS:000285804100012						
J	Tsay, CJ; Shu, LL; Bazerman, MH				Tsay, Chia-Jung; Shu, Lisa L.; Bazerman, Max H.			Naivete and Cynicism in Negotiations and Other Competitive Contexts	ACADEMY OF MANAGEMENT ANNALS																Shu, Lisa/Q-6020-2017													1941-6520	1941-6067					2011	5						495	518		10.1080/19416520.2011.587283							WOS:000299265200012						
J	Kramer, UM; Mohammadi, B; Donamayor, N; Samii, A; Munte, TF				Kraemer, Ulrike M.; Mohammadi, Bahram; Donamayor, Nuria; Samii, Amir; Muente, Thomas F.			Emotional and cognitive aspects of empathy and their relation to social cognition-an fMRI-study	BRAIN RESEARCH																Kramer, Ulrike/AAF-2966-2020; Kramer, Ulrike M./A-8871-2019; Munte, Thomas/C-2077-2014	Kramer, Ulrike M./0000-0002-3841-1812; Donamayor, Nuria/0000-0003-3986-0668												0006-8993	1872-6240				JAN 22	2010	1311						110	120		10.1016/j.brainres.2009.11.043							WOS:000274424700011	19944083					
J	Huber, GP; Lewis, K				Huber, George P.; Lewis, Kyle			CROSS-UNDERSTANDING: IMPLICATIONS FOR GROUP COGNITION AND PERFORMANCE	ACADEMY OF MANAGEMENT REVIEW																Lewis, Kyle/I-5690-2013													0363-7425					JAN	2010	35	1					6	26		10.5465/AMR.2010.45577787							WOS:000273460300001						
B	McMullen, JS		Koppl, R; Horwitz, S; Desrochers, P		McMullen, Jeffery S.			PERSPECTIVE TAKING AND THE HETEROGENEITY OF THE ENTREPRENEURIAL IMAGINATION	WHAT IS SO AUSTRIAN ABOUT AUSTRIAN ECONOMICS	Advances in Austrian Economics				2nd Biennial Wirth Conference on Austrian Economics	OCT 17-18, 2008	Mississauga, CANADA	Wirth Inst Austrian & Central European Studies																							978-0-85724-261-7				2010	14						113	143		10.1108/S1529-2134(2010)0000014009							WOS:000300005000007						
J	Hall, JA; Andrzejewski, SA; Yopchick, JE				Hall, Judith A.; Andrzejewski, Susan A.; Yopchick, Jennelle E.			Psychosocial Correlates of Interpersonal Sensitivity: A Meta-Analysis	JOURNAL OF NONVERBAL BEHAVIOR																													0191-5886	1573-3653				SEP	2009	33	3					149	180		10.1007/s10919-009-0070-5							WOS:000267367000001						
J	Palomares, NA				Palomares, Nicholas A.			Did You See It Coming? Effects of the Specificity and Efficiency of Goal Pursuit on the Accuracy and Onset of Goal Detection in Social Interaction	COMMUNICATION RESEARCH																	Palomares, Nicholas/0000-0002-7754-6357												0093-6502	1552-3810				AUG	2009	36	4					475	509		10.1177/0093650209333032							WOS:000268020500002						
J	Homburg, C; Wieseke, J; Bornemann, T				Homburg, Christian; Wieseke, Jan; Bornemann, Torsten			Implementing the Marketing Concept at the Employee-Customer Interface: The Role of Customer Need Knowledge	JOURNAL OF MARKETING																													0022-2429	1547-7185				JUL	2009	73	4					64	81		10.1509/jmkg.73.4.64							WOS:000267062600005						
J	Dudley, NM; Cortina, JM				Dudley, Nicole M.; Cortina, Jose M.			Knowledge and Skills That Facilitate the Personal Support Dimension of Citizenship	JOURNAL OF APPLIED PSYCHOLOGY																Ortega, Virgilio/P-5586-2015													0021-9010	1939-1854				NOV	2008	93	6					1249	1270		10.1037/a0012572							WOS:000261066300005	19025246					
J	Wachs, K; Cordova, JV				Wachs, Karen; Cordova, James V.			Mindful relating: Exploring mindfulness and emotion repertoires in intimate relationships	JOURNAL OF MARITAL AND FAMILY THERAPY																													0194-472X	1752-0606				OCT	2007	33	4					464	481		10.1111/j.1752-0606.2007.00032.x							WOS:000250243100005	17935530					
J	Buyse, S; Valla, D				Buyse, Sophie; Valla, Dominique			Carbohydrate metabolism dysregulation in cirrhosis: pathophysiology, prognostic impact and therapeutic implications	GASTROENTEROLOGIE CLINIQUE ET BIOLOGIQUE																	Valla, Dominique/0000-0002-4460-7643												0399-8320					MAR	2007	31	3					266	273		10.1016/S0399-8320(07)89371-7							WOS:000246079000003	17396083					
J	Shamay-Tsoory, SG; Tomer, R; Goldsher, D; Berger, BD; Aharon-Peretz, J				Shamay-Tsoory, SG; Tomer, R; Goldsher, D; Berger, BD; Aharon-Peretz, J			Impairment in cognitive and affective empathy in patients with brain lesions: Anatomical and cognitive correlates	JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY																tomer, rachel/E-5747-2013													1380-3395	1744-411X				NOV	2004	26	8					1113	1127		10.1080/13803390490515531							WOS:000225537000009	15590464					
J	Burkard, AW; Knox, S				Burkard, AW; Knox, S			Effect of therapist color-blindness on empathy and attributions in cross-cultural counseling	JOURNAL OF COUNSELING PSYCHOLOGY																													0022-0167					OCT	2004	51	4					387	397		10.1037/0022-0167.51.4.387							WOS:000224179800001						
J	Gehlbach, H				Gehlbach, H			A new perspective on perspective taking: A multidimensional approach to conceptualizing an aptitude	EDUCATIONAL PSYCHOLOGY REVIEW																													1040-726X	1573-336X				SEP	2004	16	3					207	234		10.1023/B:EDPR.0000034021.12899.11							WOS:000222473700002						
J	Barbas, D; DesGroseillers, L; Castellucci, VF; Carew, TJ; Marinesco, S				Barbas, D; DesGroseillers, L; Castellucci, VF; Carew, TJ; Marinesco, S			Multiple serotonergic mechanisms contributing to sensitization in Aplysia: Evidence of diverse serotonin receptor subtypes	LEARNING & MEMORY																Marinesco, Stephane/M-6694-2017	Marinesco, Stephane/0000-0003-2712-6263												1072-0502	1549-5485				SEP-OCT	2003	10	5					373	386		10.1101/lm.66103							WOS:000185982500010	14557610					
J	Widmier, S				Widmier, S			The effects of incentives and personality on salesperson's customer orientation	INDUSTRIAL MARKETING MANAGEMENT																													0019-8501					OCT	2002	31	7					609	615	PII S0019-8501(02)00181-5	10.1016/S0019-8501(02)00181-5							WOS:000178178700008						
J	Cliffordson, C				Cliffordson, C			The hierarchical structure of empathy: Dimensional organization and relations to social functioning	SCANDINAVIAN JOURNAL OF PSYCHOLOGY																Girault, Johann/B-2430-2012	Cliffordson, Christina/0000-0002-4722-009X												0036-5564					FEB	2002	43	1					49	59		10.1111/1467-9450.00268							WOS:000174044100006	11885760					
J	Albright, L; Forest, C; Reiseter, K				Albright, L; Forest, C; Reiseter, K			Acting, behaving, and the selfless basis of metaperception	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY																													0022-3514					NOV	2001	81	5					910	921		10.1037/0022-3514.81.5.910							WOS:000171926300013	11708566					
J	Eisenberg, N; Zhou, Q; Koller, S				Eisenberg, N; Zhou, Q; Koller, S			Brazilian adolescents' prosocial moral judgment and behavior: Relations to sympathy, perspective taking, gender-role orientation, and demographic characteristics	CHILD DEVELOPMENT																Koller, Silvia/B-2629-2008	Koller, Silvia/0000-0001-9109-6674												0009-3920					MAR-APR	2001	72	2					518	534		10.1111/1467-8624.00294							WOS:000168134200013	11333082					
J	Constantine, MG				Constantine, MG			Social desirability attitudes, sex, and affective and cognitive empathy as predictors of self-reported multicultural counseling competence	COUNSELING PSYCHOLOGIST																													0011-0000					NOV	2000	28	6					857	872		10.1177/0011000000286008							WOS:000089635000008						
J	Rossnagel, C				Rossnagel, C			Cognitive load and perspective-taking: applying the automatic-controlled distinction to verbal communication	EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY																Stamov RoSSnagel, Christian/M-2644-2014; RoSSnagel, Christian Stamov/M-5934-2019	RoSSnagel, Christian Stamov/0000-0002-7197-6655												0046-2772					MAY-JUN	2000	30	3					429	445									WOS:000087535600007						
J	Gant, JR; Calsyn, RJ; Winter, J				Gant, JR; Calsyn, RJ; Winter, J			Predicting agreement between providers and recipients of social support	JOURNAL OF SOCIAL BEHAVIOR AND PERSONALITY																													0886-1641					DEC	1999	14	4					523	546									WOS:000089593800006						
J	Long, ECJ; Angera, JJ; Carter, SJ; Nakamoto, M; Kalso, M				Long, ECJ; Angera, JJ; Carter, SJ; Nakamoto, M; Kalso, M			Understanding the one you love: A longitudinal assessment of an empathy training program for couples in romantic relationships	FAMILY RELATIONS					Annual Meeting of the National-Council-on-Family-Relations	NOV, 1997	WASHINGTON, D.C.	Natl Council Family Relat																					0197-6664					JUL	1999	48	3					235	242		10.2307/585632							WOS:000081753900002						
J	Green, JD; Sedikides, C				Green, JD; Sedikides, C			Affect and self-focused attention revisited: The role of affect orientation	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN																	Sedikides, Contantine/0000-0003-4036-889X												0146-1672					JAN	1999	25	1					104	119		10.1177/0146167299025001009							WOS:000077691800009						
J	Asai, A; Barnlund, DC				Asai, A; Barnlund, DC			Boundaries of the unconscious, private, and public self in Japanese and Americans: A cross-cultural comparison	INTERNATIONAL JOURNAL OF INTERCULTURAL RELATIONS					77th Speech-Communication-Association-Convention	NOV   01, 1991	ARIZONA	Speech Commun Assoc																					0147-1767					NOV	1998	22	4					431	452		10.1016/S0147-1767(98)00017-0							WOS:000078005100004						
J	Panayiotou, G; Vrana, SR				Panayiotou, G; Vrana, SR			Effect of self-focused attention on the startle reflex, heart rate, and memory performance among socially anxious and nonanxious individuals	PSYCHOPHYSIOLOGY																Vrana, Scott/J-7824-2019	Vrana, Scott/0000-0002-0657-5257; Panayiotou, Georgia/0000-0003-2471-9960												0048-5772					MAY	1998	35	3					328	336		10.1017/S0048577298960875							WOS:000072940100010	9564752					
J	Schroeder, JE; Ketrow, SM				Schroeder, JE; Ketrow, SM			Social anxiety and performance in an interpersonal perception task	PSYCHOLOGICAL REPORTS																													0033-2941					DEC	1997	81	3	1				991	996		10.2466/pr0.1997.81.3.991							WOS:A1997YH90100046	9400088					
J	Knott, EC; Range, LM				Knott, EC; Range, LM			Accurately imagining suicide: Imagine-self, imagine-person, observer instructions	JOURNAL OF APPLIED SOCIAL PSYCHOLOGY																													0021-9029	1559-1816				SEP 1	1997	27	17					1545	1556		10.1111/j.1559-1816.1997.tb01612.x							WOS:A1997YA22100003						
J	Ross, W; LaCroix, J				Ross, W; LaCroix, J			Multiple meanings of trust in negotiation theory and research: A literature review and integrative model	INTERNATIONAL JOURNAL OF CONFLICT MANAGEMENT																													1044-4068					OCT	1996	7	4					314	360		10.1108/eb022786							WOS:A1996WA31000002						
J	Ehrenberg, MF; Hunter, MA; Elterman, MF				Ehrenberg, MF; Hunter, MA; Elterman, MF			Shared parenting agreements after marital separation: The roles of empathy and narcissism	JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY																													0022-006X					AUG	1996	64	4					808	818		10.1037/0022-006X.64.4.808							WOS:A1996VC52600021	8803372					
J	STETS, JE				STETS, JE			MODELING CONTROL IN RELATIONSHIPS	JOURNAL OF MARRIAGE AND THE FAMILY																													0022-2445					MAY	1995	57	2					489	501		10.2307/353701							WOS:A1995RA46800020						
J	MARANGONI, C; GARCIA, S; ICKES, W; TENG, G				MARANGONI, C; GARCIA, S; ICKES, W; TENG, G			EMPATHIC ACCURACY IN A CLINICALLY RELEVANT SETTING	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY					Centennial Convention of the American-Psychological-Association	AUG, 1992	WASHINGTON, DC	Amer Psychol Assoc																					0022-3514					MAY	1995	68	5					854	869		10.1037/0022-3514.68.5.854							WOS:A1995QX16300008	7776183					
J	DAVIS, MH; LUCE, C; KRAUS, SJ				DAVIS, MH; LUCE, C; KRAUS, SJ			THE HERITABILITY OF CHARACTERISTICS ASSOCIATED WITH DISPOSITIONAL EMPATHY	JOURNAL OF PERSONALITY																													0022-3506					SEP	1994	62	3					369	391		10.1111/j.1467-6494.1994.tb00302.x							WOS:A1994PM27200005	7965564					
J	STETS, JE; BURKE, PJ				STETS, JE; BURKE, PJ			INCONSISTENT SELF-VIEWS IN THE CONTROL IDENTITY MODEL	SOCIAL SCIENCE RESEARCH																Burke, Peter/R-8451-2019													0049-089X					SEP	1994	23	3					236	262		10.1006/ssre.1994.1010							WOS:A1994PJ22000003						
J	WATSON, PJ; BIDERMAN, MD; SAWRIE, SM				WATSON, PJ; BIDERMAN, MD; SAWRIE, SM			EMPATHY, SEX-ROLE ORIENTATION, AND NARCISSISM	SEX ROLES																													0360-0025	1573-2762				MAY	1994	30	9-10					701	723		10.1007/BF01544671							WOS:A1994NZ28900006						
J	KEMP, KE; SMITH, WP				KEMP, KE; SMITH, WP			INFORMATION EXCHANGE, TOUGHNESS, AND INTEGRATIVE BARGAINING - THE ROLES OF EXPLICIT CUES AND PERSPECTIVE-TAKING	INTERNATIONAL JOURNAL OF CONFLICT MANAGEMENT																													1044-4068					JAN	1994	5	1					5	21		10.1108/eb022734							WOS:A1994NP71200001						
J	LONG, ECJ				LONG, ECJ			PERSPECTIVE-TAKING DIFFERENCES BETWEEN HIGH-ADJUSTMENT AND LOW-ADJUSTMENT MARRIAGES - IMPLICATIONS FOR THOSE IN INTERVENTION	AMERICAN JOURNAL OF FAMILY THERAPY																													0192-6187					FAL	1993	21	3					248	259		10.1080/01926189308250923							WOS:A1993MB68100006						
J	STETS, JE				STETS, JE			CONTROL IN DATING RELATIONSHIPS	JOURNAL OF MARRIAGE AND FAMILY																													0022-2445	1741-3737				AUG	1993	55	3					673	685		10.2307/353348							WOS:A1993LV00100016						
J	CARSON, AD; MOWSESIAN, R				CARSON, AD; MOWSESIAN, R			SELF-MONITORING AND PRIVATE SELF-CONSCIOUSNESS - RELATIONS TO HOLLAND VOCATIONAL PERSONALITY-TYPES	JOURNAL OF VOCATIONAL BEHAVIOR																													0001-8791					APR	1993	42	2					212	222		10.1006/jvbe.1993.1015							WOS:A1993KQ29500005						
J	LONG, ECJ				LONG, ECJ			MAINTAINING A STABLE MARRIAGE - PERSPECTIVE-TAKING AS A PREDICTOR OF A PROPENSITY TO DIVORCE	JOURNAL OF DIVORCE & REMARRIAGE																													1050-2556						1993	21	1-2					121	138									WOS:A1993NK41500007						
J	DAVIS, MH; OATHOUT, HA				DAVIS, MH; OATHOUT, HA			THE EFFECT OF DISPOSITIONAL EMPATHY ON ROMANTIC RELATIONSHIP BEHAVIORS - HETEROSOCIAL ANXIETY AS A MODERATING INFLUENCE	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN																													0146-1672					FEB	1992	18	1					76	83		10.1177/0146167292181011							WOS:A1992HC29000011						
J	DAVIS, MH; FRANZOI, SL				DAVIS, MH; FRANZOI, SL			STABILITY AND CHANGE IN ADOLESCENT SELF-CONSCIOUSNESS AND EMPATHY	JOURNAL OF RESEARCH IN PERSONALITY																													0092-6566					MAR	1991	25	1					70	87		10.1016/0092-6566(91)90006-C							WOS:A1991EY04800005						
J	SCHWALBE, ML				SCHWALBE, ML			ROLE-TAKING, SELF-MONITORING, AND THE ALIGNMENT OF CONDUCT WITH OTHERS	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN																													0146-1672					FEB	1991	17	1					51	57		10.1177/0146167291171008							WOS:A1991EW20200007						
J	CLARY, EG; ORENSTEIN, L				CLARY, EG; ORENSTEIN, L			THE AMOUNT AND EFFECTIVENESS OF HELP - THE RELATIONSHIP OF MOTIVES AND ABILITIES TO HELPING-BEHAVIOR	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN																													0146-1672					FEB	1991	17	1					58	64		10.1177/0146167291171009							WOS:A1991EW20200008						
J	RUSBULT, CE; VERETTE, J; WHITNEY, GA; SLOVIK, LF; LIPKUS, I				RUSBULT, CE; VERETTE, J; WHITNEY, GA; SLOVIK, LF; LIPKUS, I			ACCOMMODATION PROCESSES IN CLOSE RELATIONSHIPS - THEORY AND PRELIMINARY EMPIRICAL-EVIDENCE	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY																													0022-3514					JAN	1991	60	1					53	78		10.1037/0022-3514.60.1.53							WOS:A1991ET55700005						
J	ICKES, W; STINSON, L; BISSONNETTE, V; GARCIA, S				ICKES, W; STINSON, L; BISSONNETTE, V; GARCIA, S			NATURALISTIC SOCIAL COGNITION - EMPATHIC ACCURACY IN MIXED-SEX DYADS	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY																													0022-3514					OCT	1990	59	4					730	742		10.1037/0022-3514.59.4.730							WOS:A1990ED50400011						
J	LONG, ECJ; ANDREWS, DW				LONG, ECJ; ANDREWS, DW			PERSPECTIVE TAKING AS A PREDICTOR OF MARITAL ADJUSTMENT	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY																													0022-3514					JUL	1990	59	1					126	131		10.1037/0022-3514.59.1.126							WOS:A1990DT98600012						
J	GIBBONS, FX				GIBBONS, FX			SELF-ATTENTION AND BEHAVIOR - A REVIEW AND THEORETICAL UPDATE	ADVANCES IN EXPERIMENTAL SOCIAL PSYCHOLOGY																													0065-2601						1990	23						249	303		10.1016/S0065-2601(08)60321-4							WOS:A1990CY55000005						
J	SCHWONZEN, M; KUEHN, N; VETTEN, B; DIEHL, V; PFREUNDSCHUH, M				SCHWONZEN, M; KUEHN, N; VETTEN, B; DIEHL, V; PFREUNDSCHUH, M			PHENOTYPING OF ACUTE MYELOMONOCYTIC (AMMOL) AND MONOCYTIC LEUKEMIA (AMOL) - ASSOCIATION OF T-CELL-RELATED ANTIGENS AND SKIN-INFILTRATION IN AMOL	LEUKEMIA RESEARCH																													0145-2126	1873-5835					1989	13	10					893	898		10.1016/0145-2126(89)90042-8							WOS:A1989AZ52600004	2685474					
J	HOPE, DA; HEIMBERG, RG				HOPE, DA; HEIMBERG, RG			PUBLIC AND PRIVATE SELF-CONSCIOUSNESS AND SOCIAL PHOBIA	JOURNAL OF PERSONALITY ASSESSMENT																													0022-3891					WIN	1988	52	4					626	639		10.1207/s15327752jpa5204_3							WOS:A1988Q827800003	3210130					
J	DAVIS, MH; OATHOUT, HA				DAVIS, MH; OATHOUT, HA			MAINTENANCE OF SATISFACTION IN ROMANTIC RELATIONSHIPS - EMPATHY AND RELATIONAL COMPETENCE	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY																													0022-3514					AUG	1987	53	2					397	410		10.1037/0022-3514.53.2.397							WOS:A1987J614200020						
