PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	KORABIK, K; BARIL, GL; WATSON, C								MANAGERS CONFLICT-MANAGEMENT STYLE AND LEADERSHIP EFFECTIVENESS - THE MODERATING EFFECTS OF GENDER								SEX ROLES				29	5-6			405	420		10.1007/BF00289432				SEP 1993	1993																			0360-0025			WOS:A1993ME87400007		
J	Lefkowitz, ES; Fingerman, KL								Positive and negative emotional feelings and behaviors in mother-daughter ties in late life								JOURNAL OF FAMILY PSYCHOLOGY				17	4			607	617		10.1037/0893-3200.17.4.607				DEC 2003	2003																			0893-3200	1939-1293		WOS:000187223700014	14640809	
J	Lockenhoff, Corinna E.; Carstensen, Laura L.					Loeckenhoff, Corinna/0000-0003-1605-1323			Aging, emotion, and health-related decision strategies: Motivational manipulations can reduce age differences								PSYCHOLOGY AND AGING				22	1			134	146		10.1037/0882-7974.22.1.134				MAR 2007	2007																			0882-7974			WOS:000245060300015	17385990	
J	QUAYHAGEN, MP; QUAYHAGEN, M								COPING WITH CONFLICT - MEASUREMENT OF AGE-RELATED PATTERNS								RESEARCH ON AGING				4	3			364	377		10.1177/0164027582004003006				1982	1982																			0164-0275			WOS:A1982PJ76600006		
J	RAHIM, MA								A MEASURE OF STYLES OF HANDLING INTERPERSONAL CONFLICT								ACADEMY OF MANAGEMENT JOURNAL				26	2			368	376		10.2307/255985				1983	1983																			0001-4273			WOS:A1983QR22800015	10263067	
J	THOMPSON, L								NEGOTIATION BEHAVIOR AND OUTCOMES - EMPIRICAL-EVIDENCE AND THEORETICAL ISSUES								PSYCHOLOGICAL BULLETIN				108	3			515	532		10.1037/0033-2909.108.3.515				NOV 1990	1990																			0033-2909	1939-1455		WOS:A1990EH99000010		
J	Toossi, Mitra								A new look at long-term labor force projections to 2050								MONTHLY LABOR REVIEW				129	11			19	39						NOV 2006	2006																			0098-1818			WOS:000250276600003		
J	Watson, C; Hoffman, LR								Managers as negotiators: A test of power versus gender as predictors of feelings, behavior, and outcomes								LEADERSHIP QUARTERLY				7	1			63	85		10.1016/S1048-9843(96)90035-1				SPR 1996	1996																			1048-9843			WOS:A1996UL20500004		
J	YUKL, G; TRACEY, JB								CONSEQUENCES OF INFLUENCE TACTICS USED WITH SUBORDINATES, PEERS, AND THE BOSS								JOURNAL OF APPLIED PSYCHOLOGY				77	4			525	535		10.1037/0021-9010.77.4.525				AUG 1992	1992																			0021-9010			WOS:A1992JJ21200014		
J	YUKL, G; FALBE, CM								INFLUENCE TACTICS AND OBJECTIVES IN UPWARD, DOWNWARD, AND LATERAL INFLUENCE ATTEMPTS								JOURNAL OF APPLIED PSYCHOLOGY				75	2			132	140		10.1037/0021-9010.75.2.132				APR 1990	1990																			0021-9010			WOS:A1990CX66300004		
