PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	DAVIS, MH								MEASURING INDIVIDUAL-DIFFERENCES IN EMPATHY - EVIDENCE FOR A MULTIDIMENSIONAL APPROACH								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				44	1			113	126		10.1037/0022-3514.44.1.113				1983	1983																			0022-3514			WOS:A1983PY32000010		
J	DEUTSCH, F; MADLE, RA								EMPATHY - HISTORIC AND CURRENT CONCEPTUALIZATIONS, MEASUREMENT, AND A COGNITIVE THEORETICAL PERSPECTIVE								HUMAN DEVELOPMENT				18	4			267	287		10.1159/000271488				1975	1975																			0018-716X	1423-0054		WOS:A1975BG80300002	765261	
J	Devoldre, Inge; Davis, Mark H.; Verhofstadt, Lesley L.; Buysse, Ann								Empathy and Social Support Provision in Couples: Social Support and the Need to Study the Underlying Processes								JOURNAL OF PSYCHOLOGY				144	3			259	284		10.1080/00223981003648294				2010	2010																			0022-3980	1940-1019		WOS:000281477500003	20461931	
J	Dolan, M; Fullam, R								Theory of mind and mentalizing ability in antisocial personality disorders with and without psychopathy								PSYCHOLOGICAL MEDICINE				34	6			1093	1102		10.1017/S0033291704002028				AUG 2004	2004																			0033-2917	1469-8978		WOS:000224104300013	15554579	
J	ENRIGHT, RD; GASSIN, EA; WU, CR								FORGIVENESS - A DEVELOPMENTAL VIEW								JOURNAL OF MORAL EDUCATION				21	2			99	114		10.1080/0305724920210202				1992	1992																			0305-7240			WOS:A1992JA11500002		
J	Fehr, Ryan; Gelfand, Michele J.; Nag, Monisha								The Road to Forgiveness: A Meta-Analytic Synthesis of Its Situational and Dispositional Correlates								PSYCHOLOGICAL BULLETIN				136	5			894	914		10.1037/a0019993				SEP 2010	2010																			0033-2909	1939-1455		WOS:000281495200010	20804242	
J	FESHBACH, ND; ROE, K								EMPATHY IN 6- AND 7-YEAR-OLDS								CHILD DEVELOPMENT				39	1			133	&		10.1111/j.1467-8624.1968.tb04412.x				1968	1968																			0009-3920			WOS:A1968B795000013	5645790	
J	Flury, Judith M.; Ickes, William; Schweinle, William								The borderline empathy effect: Do high BPD individuals have greater empathic ability? Or are they just more difficult to "read"?								JOURNAL OF RESEARCH IN PERSONALITY				42	2			312	332		10.1016/j.jrp.2007.05.008				APR 2008	2008																			0092-6566	1095-7251		WOS:000255843600003		
J	Galinsky, AD; Moskowitz, GB				MASCARENHAS, PEDRO H/G-5824-2010				Perspective-taking: Decreasing stereotype expression, stereotype accessibility, and in-group favoritism								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				78	4			708	724		10.1037//0022-3514.78.4.708				APR 2000	2000																			0022-3514			WOS:000087485500008	10794375	
J	Gleason, Katie A.; Jensen-Campbell, Lauri A.; Ickes, William								The Role of Empathic Accuracy in Adolescents' Peer Relations and Adjustment								PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN				35	8			997	1011		10.1177/0146167209336605				AUG 2009	2009																			0146-1672	1552-7433		WOS:000267904100002	19498068	
J	ICKES, W; STINSON, L; BISSONNETTE, V; GARCIA, S								NATURALISTIC SOCIAL COGNITION - EMPATHIC ACCURACY IN MIXED-SEX DYADS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				59	4			730	742		10.1037/0022-3514.59.4.730				OCT 1990	1990																			0022-3514			WOS:A1990ED50400011		
B	Ickes, William						Decety, J; Ickes, W		Empathic Accuracy: Its Links to Clinical, Cognitive, Developmental, Social, and Physiological Psychology								SOCIAL NEUROSCIENCE OF EMPATHY								57	70						2009	2009																					978-0-262-01297-3	WOS:000279132400006		
J	Jones, Alice P.; Happe, Francesca G. E.; Gilbert, Francesca; Burnett, Stephanie; Viding, Essi					Viding, Essi/0000-0001-8468-8874; Happe, Francesca/0000-0001-9226-4000; Jones Bartoli, Alice/0000-0002-8471-3774			Feeling, caring, knowing: different types of empathy deficit in boys with psychopathic tendencies and autism spectrum disorder								JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY				51	11			1188	1197		10.1111/j.1469-7610.2010.02280.x				NOV 2010	2010																			0021-9630	1469-7610		WOS:000282688200002	20633070	
J	Kerr, Willard A.; Speroff, Boris J.								VALIDATION AND EVALUATION OF THE EMPATHY TEST								JOURNAL OF GENERAL PSYCHOLOGY				50	2			269	276		10.1080/00221309.1954.9710125				APR 1954	1954																			0022-1309			WOS:000203626500009		
J	Maner, JK; Luce, CL; Neuberg, SL; Cialdini, RB; Brown, S; Sagarin, BJ								The effects of perspective taking on motivations for helping: Still no evidence for altruism								PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN				28	11			1601	1610		10.1177/014616702237586				NOV 2002	2002																			0146-1672			WOS:000178738800013		
J	MARKUS, HR; KITAYAMA, S				hu, jenny/AAK-8712-2020; Leong, Frederick T./A-4567-2013	Leong, Frederick T./0000-0001-5598-0390			CULTURE AND THE SELF - IMPLICATIONS FOR COGNITION, EMOTION, AND MOTIVATION								PSYCHOLOGICAL REVIEW				98	2			224	253		10.1037/0033-295X.98.2.224				APR 1991	1991																			0033-295X	1939-1471		WOS:A1991FF98900006		
J	McCullough, ME; Pargament, KI; Thoresen, CE						McCullough, ME; Pargament, KI; Thoresen, CE		The psychology of forgiveness - History, conceptual issues, and overview								FORGIVENESS								1	14						2000	2000																						CCC:000085463300001		
J	McCullough, ME; Worthington, EL; Rachal, KC								Interpersonal forgiving in close relationships								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				73	2			321	336		10.1037/0022-3514.73.2.321				AUG 1997	1997																			0022-3514	1939-1315		WOS:A1997XM66500008	9248052	
J	Pasch, LA; Bradbury, TN								Social support, conflict, and the development of marital dysfunction								JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY				66	2			219	230		10.1037/0022-006X.66.2.219				APR 1998	1998																			0022-006X			WOS:000073178500001	9583325	
J	Peloquin, Katherine; Lafontaine, Marie-France; Brassard, Audrey				Peloquin, Katherine/AAM-8997-2020				A dyadic approach to the study of romantic attachment, dyadic empathy, and psychological partner aggression								JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS				28	7			915	942		10.1177/0265407510397988				NOV 2011	2011																			0265-4075			WOS:000296633400002		
J	Roeyers, H; Buysse, A; Ponnet, K; Pichal, B				Ponnet, Koen/K-9389-2017; Ponnet, Koen/AAE-4589-2019; Roeyers, Herbert/A-5557-2018	Ponnet, Koen/0000-0002-6911-7632; Ponnet, Koen/0000-0002-6911-7632; Roeyers, Herbert/0000-0002-4895-583X			Advancing advanced mind-reading tests: Empathic accuracy in adults with a pervasive developmental disorder								JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY				42	2			271	278		10.1111/1469-7610.00718				FEB 2001	2001																			0021-9630			WOS:000168461100012	11280423	
J	ROGERS, CR								EMPATHIC - UNAPPRECIATED WAY OF BEING								COUNSELING PSYCHOLOGIST				5	2			2	10		10.1177/001100007500500202				1975	1975																			0011-0000			WOS:A1975AC68700002		
J	SCHROEDER, DA; DOVIDIO, JF; SIBICKY, ME; MATTHEWS, LL; ALLEN, JL								EMPATHIC CONCERN AND HELPING-BEHAVIOR - EGOISM OR ALTRUISM								JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY				24	4			333	353		10.1016/0022-1031(88)90024-8				JUL 1988	1988																			0022-1031			WOS:A1988P022800004		
J	TAFT, R								THE ABILITY TO JUDGE PEOPLE								PSYCHOLOGICAL BULLETIN				52	1			1	23		10.1037/h0044999				1955	1955																			0033-2909			WOS:A1955WD13800001	13237381	
J	TOI, M; BATSON, CD								MORE EVIDENCE THAT EMPATHY IS A SOURCE OF ALTRUISTIC MOTIVATION								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				43	2			281	292		10.1037/0022-3514.43.2.281				1982	1982																			0022-3514			WOS:A1982PA92700008		
J	Verhofstadt, Lesley L.; Buysse, Ann; Ickes, William; Davis, Mark; Devoldre, Inge								Support Provision in Marriage: The Role of Emotional Similarity and Empathic Accuracy								EMOTION				8	6			792	802		10.1037/a0013976				DEC 2008	2008																			1528-3542	1931-1516		WOS:000261678100006	19102590	
J	Wang, Cynthia S.; Ku, Gillian; Tai, Kenneth; Galinsky, Adam D.				Wang, Cynthia S/B-3081-2018; Ku, Gillian/C-3155-2014; TAI, Kenneth Tze Suen/H-6827-2013	Wang, Cynthia S/0000-0003-3880-8753; Tai, Kenneth/0000-0002-7817-3599			Stupid Doctors and Smart Construction Workers: Perspective-Taking Reduces Stereotyping of Both Negative and Positive Targets								SOCIAL PSYCHOLOGICAL AND PERSONALITY SCIENCE				5	4			430	436		10.1177/1948550613504968				MAY 2014	2014																			1948-5506	1948-5514		WOS:000336438400007		
